order_item_id,order_id,product_id,quantity,unit_price,line_total,item_status,ship_date,delivered_date,canceled_date,date_created,date_updated
15,3,6551,2,12.39,24.78,Delivered,"2026-02-19 00:00:00","2026-02-21 00:00:00",NULL,"2026-02-18 00:00:00","2026-04-16 11:56:29"
16,3,3871,2,9.81,19.62,Shipped,"2026-02-21 00:00:00",NULL,NULL,"2026-02-18 00:00:00","2026-04-16 11:56:29"
17,3,282,5,2.98,14.90,Shipped,"2026-02-20 00:00:00",NULL,NULL,"2026-02-18 00:00:00","2026-04-16 11:56:29"
18,4,6076,4,2.04,8.16,Delivered,"2024-03-04 00:00:00","2024-03-09 00:00:00",NULL,"2024-03-02 00:00:00","2026-04-16 11:56:29"
19,4,9214,4,7.04,28.16,Shipped,"2024-03-05 00:00:00",NULL,NULL,"2024-03-02 00:00:00","2026-04-16 11:56:29"
20,5,7305,2,9.00,18.00,Delivered,"2024-10-30 00:00:00","2024-11-03 00:00:00",NULL,"2024-10-29 00:00:00","2026-04-16 11:56:29"
21,5,8361,5,3.85,19.25,Delivered,"2024-10-31 00:00:00","2024-11-05 00:00:00",NULL,"2024-10-29 00:00:00","2026-04-16 11:56:29"
22,5,518,5,10.51,52.55,Shipped,"2024-11-01 00:00:00",NULL,NULL,"2024-10-29 00:00:00","2026-04-16 11:56:29"
23,5,660,5,5.17,25.85,Delivered,"2024-10-31 00:00:00","2024-11-02 00:00:00",NULL,"2024-10-29 00:00:00","2026-04-16 11:56:29"
24,5,5928,5,3.44,17.20,Delivered,"2024-11-01 00:00:00","2024-11-06 00:00:00",NULL,"2024-10-29 00:00:00","2026-04-16 11:56:29"
25,5,1607,5,6.67,33.35,Delivered,"2024-10-31 00:00:00","2024-11-03 00:00:00",NULL,"2024-10-29 00:00:00","2026-04-16 11:56:29"
26,5,3096,5,7.10,35.50,Delivered,"2024-10-31 00:00:00","2024-11-02 00:00:00",NULL,"2024-10-29 00:00:00","2026-04-16 11:56:29"
27,6,8209,2,3.83,7.66,Delivered,"2025-03-15 00:00:00","2025-03-19 00:00:00",NULL,"2025-03-12 00:00:00","2026-04-16 11:56:29"
28,6,9536,3,6.91,20.73,Shipped,"2025-03-13 00:00:00",NULL,NULL,"2025-03-12 00:00:00","2026-04-16 11:56:29"
29,6,7572,5,8.30,41.50,Delivered,"2025-03-15 00:00:00","2025-03-17 00:00:00",NULL,"2025-03-12 00:00:00","2026-04-16 11:56:29"
30,6,9335,4,8.16,32.64,Canceled,NULL,NULL,"2025-03-14 00:00:00","2025-03-12 00:00:00","2026-04-17 10:29:05"
31,6,4446,5,6.00,30.00,Delivered,"2025-03-14 00:00:00","2025-03-19 00:00:00",NULL,"2025-03-12 00:00:00","2026-04-16 11:56:29"
32,7,3669,4,7.26,29.04,Delivered,"2025-03-27 00:00:00","2025-03-28 00:00:00",NULL,"2025-03-25 00:00:00","2026-04-16 11:56:29"
33,8,7061,2,7.11,14.22,Delivered,"2025-05-30 00:00:00","2025-06-04 00:00:00",NULL,"2025-05-28 00:00:00","2026-04-16 11:56:29"
34,8,8981,4,8.93,35.72,Delivered,"2025-05-31 00:00:00","2025-06-03 00:00:00",NULL,"2025-05-28 00:00:00","2026-04-16 11:56:29"
35,8,6028,2,7.46,14.92,Shipped,"2025-05-29 00:00:00",NULL,NULL,"2025-05-28 00:00:00","2026-04-16 11:56:29"
36,8,5920,3,7.27,21.81,Delivered,"2025-05-31 00:00:00","2025-06-05 00:00:00",NULL,"2025-05-28 00:00:00","2026-04-16 11:56:29"
37,8,2480,2,9.19,18.38,Delivered,"2025-05-30 00:00:00","2025-06-01 00:00:00",NULL,"2025-05-28 00:00:00","2026-04-16 11:56:29"
38,9,1101,2,3.70,7.40,Canceled,NULL,NULL,"2024-06-05 00:00:00","2024-06-05 00:00:00","2026-04-17 10:29:05"
39,10,8234,5,7.79,38.95,Canceled,NULL,NULL,"2022-07-12 00:00:00","2022-07-11 00:00:00","2026-04-17 10:29:05"
40,11,3765,4,18.38,73.52,Delivered,"2023-08-26 00:00:00","2023-08-27 00:00:00",NULL,"2023-08-24 00:00:00","2026-04-16 11:56:29"
41,11,5053,3,8.39,25.17,Delivered,"2023-08-25 00:00:00","2023-08-30 00:00:00",NULL,"2023-08-24 00:00:00","2026-04-16 11:56:29"
42,11,1236,3,6.51,19.53,Canceled,NULL,NULL,"2023-08-24 00:00:00","2023-08-24 00:00:00","2026-04-17 10:29:05"
43,11,4879,3,3.60,10.80,Delivered,"2023-08-27 00:00:00","2023-08-29 00:00:00",NULL,"2023-08-24 00:00:00","2026-04-16 11:56:29"
44,11,5799,4,8.90,35.60,Delivered,"2023-08-26 00:00:00","2023-08-31 00:00:00",NULL,"2023-08-24 00:00:00","2026-04-16 11:56:29"
45,11,2218,2,3.61,7.22,Canceled,NULL,NULL,"2023-08-26 00:00:00","2023-08-24 00:00:00","2026-04-17 10:29:05"
46,12,9299,4,9.40,37.60,Delivered,"2025-04-30 00:00:00","2025-05-01 00:00:00",NULL,"2025-04-27 00:00:00","2026-04-16 11:56:29"
47,12,7136,1,8.09,8.09,Shipped,"2025-04-28 00:00:00",NULL,NULL,"2025-04-27 00:00:00","2026-04-16 11:56:29"
48,12,5306,5,13.30,66.50,Delivered,"2025-04-29 00:00:00","2025-04-30 00:00:00",NULL,"2025-04-27 00:00:00","2026-04-16 11:56:29"
49,12,3933,4,10.52,42.08,Delivered,"2025-04-28 00:00:00","2025-05-01 00:00:00",NULL,"2025-04-27 00:00:00","2026-04-16 11:56:29"
50,13,1132,4,16.11,64.44,Delivered,"2024-06-18 00:00:00","2024-06-19 00:00:00",NULL,"2024-06-17 00:00:00","2026-04-16 11:56:29"
51,13,2477,5,5.16,25.80,Shipped,"2024-06-20 00:00:00",NULL,NULL,"2024-06-17 00:00:00","2026-04-16 11:56:29"
52,13,5894,4,10.36,41.44,Delivered,"2024-06-19 00:00:00","2024-06-24 00:00:00",NULL,"2024-06-17 00:00:00","2026-04-16 11:56:29"
53,13,383,2,11.23,22.46,Delivered,"2024-06-20 00:00:00","2024-06-24 00:00:00",NULL,"2024-06-17 00:00:00","2026-04-16 11:56:29"
54,13,998,5,7.44,37.20,Delivered,"2024-06-20 00:00:00","2024-06-24 00:00:00",NULL,"2024-06-17 00:00:00","2026-04-16 11:56:29"
55,13,3297,2,10.68,21.36,Shipped,"2024-06-19 00:00:00",NULL,NULL,"2024-06-17 00:00:00","2026-04-16 11:56:29"
56,14,7341,3,5.93,17.79,Canceled,NULL,NULL,"2023-11-26 00:00:00","2023-11-26 00:00:00","2026-04-17 10:29:05"
57,14,8254,2,4.91,9.82,Delivered,"2023-11-28 00:00:00","2023-12-03 00:00:00",NULL,"2023-11-26 00:00:00","2026-04-16 11:56:29"
58,14,1704,4,6.06,24.24,Delivered,"2023-11-27 00:00:00","2023-11-30 00:00:00",NULL,"2023-11-26 00:00:00","2026-04-16 11:56:29"
59,14,9051,3,7.84,23.52,Delivered,"2023-11-29 00:00:00","2023-11-30 00:00:00",NULL,"2023-11-26 00:00:00","2026-04-16 11:56:29"
60,14,4967,2,7.30,14.60,Delivered,"2023-11-28 00:00:00","2023-12-01 00:00:00",NULL,"2023-11-26 00:00:00","2026-04-16 11:56:29"
61,14,1127,3,19.22,57.66,Delivered,"2023-11-27 00:00:00","2023-11-29 00:00:00",NULL,"2023-11-26 00:00:00","2026-04-16 11:56:29"
62,14,7124,5,10.95,54.75,Delivered,"2023-11-28 00:00:00","2023-12-02 00:00:00",NULL,"2023-11-26 00:00:00","2026-04-16 11:56:29"
63,14,1998,4,10.88,43.52,Delivered,"2023-11-29 00:00:00","2023-12-03 00:00:00",NULL,"2023-11-26 00:00:00","2026-04-16 11:56:29"
64,15,3153,2,24.02,48.04,Canceled,NULL,NULL,"2023-10-12 00:00:00","2023-10-12 00:00:00","2026-04-17 10:29:05"
65,15,1670,3,8.95,26.85,Delivered,"2023-10-14 00:00:00","2023-10-15 00:00:00",NULL,"2023-10-12 00:00:00","2026-04-16 11:56:29"
66,16,6069,1,9.95,9.95,Delivered,"2023-08-14 00:00:00","2023-08-15 00:00:00",NULL,"2023-08-13 00:00:00","2026-04-16 11:56:29"
67,16,4181,2,14.29,28.58,Delivered,"2023-08-14 00:00:00","2023-08-15 00:00:00",NULL,"2023-08-13 00:00:00","2026-04-16 11:56:29"
68,16,796,5,20.24,101.20,Delivered,"2023-08-16 00:00:00","2023-08-20 00:00:00",NULL,"2023-08-13 00:00:00","2026-04-16 11:56:29"
69,17,9242,5,3.74,18.70,Delivered,"2026-01-27 00:00:00","2026-01-30 00:00:00",NULL,"2026-01-24 00:00:00","2026-04-16 11:56:29"
70,17,2367,1,10.14,10.14,Canceled,NULL,NULL,"2026-01-25 00:00:00","2026-01-24 00:00:00","2026-04-17 10:29:05"
71,17,5116,2,6.29,12.58,Shipped,"2026-01-26 00:00:00",NULL,NULL,"2026-01-24 00:00:00","2026-04-16 11:56:29"
72,17,4650,3,5.92,17.76,Delivered,"2026-01-26 00:00:00","2026-01-29 00:00:00",NULL,"2026-01-24 00:00:00","2026-04-16 11:56:29"
73,17,8587,2,3.93,7.86,Delivered,"2026-01-27 00:00:00","2026-01-31 00:00:00",NULL,"2026-01-24 00:00:00","2026-04-16 11:56:29"
74,17,2164,3,2.43,7.29,Delivered,"2026-01-26 00:00:00","2026-01-28 00:00:00",NULL,"2026-01-24 00:00:00","2026-04-16 11:56:29"
75,17,8225,2,6.54,13.08,Canceled,NULL,NULL,"2026-01-26 00:00:00","2026-01-24 00:00:00","2026-04-17 10:29:05"
76,17,94,4,4.49,17.96,Delivered,"2026-01-27 00:00:00","2026-01-30 00:00:00",NULL,"2026-01-24 00:00:00","2026-04-16 11:56:29"
77,18,3373,2,6.93,13.86,Canceled,NULL,NULL,"2026-04-13 00:00:00","2026-04-11 00:00:00","2026-04-17 10:29:05"
78,18,6449,4,7.49,29.96,Delivered,"2026-04-14 00:00:00","2026-04-16 00:00:00",NULL,"2026-04-11 00:00:00","2026-04-16 11:56:29"
79,18,3910,1,13.73,13.73,Delivered,"2026-04-13 00:00:00","2026-04-14 00:00:00",NULL,"2026-04-11 00:00:00","2026-04-16 11:56:29"
80,18,5363,1,20.84,20.84,Delivered,"2026-04-12 00:00:00","2026-04-16 00:00:00",NULL,"2026-04-11 00:00:00","2026-04-16 11:56:29"
81,18,9549,4,2.08,8.32,Shipped,"2026-04-13 00:00:00",NULL,NULL,"2026-04-11 00:00:00","2026-04-16 11:56:29"
82,19,308,2,18.17,36.34,Delivered,"2026-01-04 00:00:00","2026-01-06 00:00:00",NULL,"2026-01-01 00:00:00","2026-04-16 11:56:29"
83,19,4600,2,5.54,11.08,Shipped,"2026-01-02 00:00:00",NULL,NULL,"2026-01-01 00:00:00","2026-04-16 11:56:29"
84,19,2065,4,17.64,70.56,Delivered,"2026-01-04 00:00:00","2026-01-07 00:00:00",NULL,"2026-01-01 00:00:00","2026-04-16 11:56:29"
85,19,4725,4,10.82,43.28,Delivered,"2026-01-04 00:00:00","2026-01-08 00:00:00",NULL,"2026-01-01 00:00:00","2026-04-16 11:56:29"
86,19,2170,2,10.11,20.22,Delivered,"2026-01-02 00:00:00","2026-01-07 00:00:00",NULL,"2026-01-01 00:00:00","2026-04-16 11:56:29"
87,20,6005,2,5.70,11.40,Delivered,"2026-02-07 00:00:00","2026-02-09 00:00:00",NULL,"2026-02-05 00:00:00","2026-04-16 11:56:29"
88,20,2783,1,9.30,9.30,Delivered,"2026-02-08 00:00:00","2026-02-11 00:00:00",NULL,"2026-02-05 00:00:00","2026-04-16 11:56:29"
89,20,673,5,13.54,67.70,Shipped,"2026-02-06 00:00:00",NULL,NULL,"2026-02-05 00:00:00","2026-04-16 11:56:29"
90,20,1303,1,12.82,12.82,Shipped,"2026-02-08 00:00:00",NULL,NULL,"2026-02-05 00:00:00","2026-04-16 11:56:29"
91,20,5349,2,15.97,31.94,Delivered,"2026-02-07 00:00:00","2026-02-10 00:00:00",NULL,"2026-02-05 00:00:00","2026-04-16 11:56:29"
92,20,7553,4,8.00,32.00,Delivered,"2026-02-08 00:00:00","2026-02-10 00:00:00",NULL,"2026-02-05 00:00:00","2026-04-16 11:56:29"
93,21,6354,1,3.11,3.11,Delivered,"2023-10-19 00:00:00","2023-10-21 00:00:00",NULL,"2023-10-18 00:00:00","2026-04-16 11:56:29"
94,21,2027,3,13.25,39.75,Delivered,"2023-10-20 00:00:00","2023-10-25 00:00:00",NULL,"2023-10-18 00:00:00","2026-04-16 11:56:29"
95,21,2966,3,12.77,38.31,Canceled,NULL,NULL,"2023-10-20 00:00:00","2023-10-18 00:00:00","2026-04-17 10:29:05"
96,21,7413,5,5.74,28.70,Delivered,"2023-10-21 00:00:00","2023-10-26 00:00:00",NULL,"2023-10-18 00:00:00","2026-04-16 11:56:29"
97,22,7356,2,2.75,5.50,Delivered,"2026-01-01 00:00:00","2026-01-04 00:00:00",NULL,"2025-12-29 00:00:00","2026-04-16 11:56:29"
98,22,7594,2,3.39,6.78,Delivered,"2025-12-31 00:00:00","2026-01-01 00:00:00",NULL,"2025-12-29 00:00:00","2026-04-16 11:56:29"
99,22,8357,2,8.15,16.30,Delivered,"2026-01-01 00:00:00","2026-01-03 00:00:00",NULL,"2025-12-29 00:00:00","2026-04-16 11:56:29"
100,22,1080,3,6.44,19.32,Delivered,"2025-12-30 00:00:00","2025-12-31 00:00:00",NULL,"2025-12-29 00:00:00","2026-04-16 11:56:29"
101,22,5017,5,25.22,126.10,Delivered,"2025-12-30 00:00:00","2026-01-03 00:00:00",NULL,"2025-12-29 00:00:00","2026-04-16 11:56:29"
102,22,261,5,12.85,64.25,Delivered,"2025-12-31 00:00:00","2026-01-04 00:00:00",NULL,"2025-12-29 00:00:00","2026-04-16 11:56:29"
103,22,4574,2,13.41,26.82,Delivered,"2026-01-01 00:00:00","2026-01-02 00:00:00",NULL,"2025-12-29 00:00:00","2026-04-16 11:56:29"
104,22,9708,1,6.74,6.74,Delivered,"2025-12-30 00:00:00","2025-12-31 00:00:00",NULL,"2025-12-29 00:00:00","2026-04-16 11:56:29"
105,23,1898,1,6.06,6.06,Delivered,"2024-08-06 00:00:00","2024-08-09 00:00:00",NULL,"2024-08-04 00:00:00","2026-04-16 11:56:29"
106,23,2018,2,25.03,50.06,Delivered,"2024-08-07 00:00:00","2024-08-10 00:00:00",NULL,"2024-08-04 00:00:00","2026-04-16 11:56:29"
107,23,6837,1,8.17,8.17,Delivered,"2024-08-05 00:00:00","2024-08-06 00:00:00",NULL,"2024-08-04 00:00:00","2026-04-16 11:56:29"
108,23,6219,3,8.10,24.30,Shipped,"2024-08-05 00:00:00",NULL,NULL,"2024-08-04 00:00:00","2026-04-16 11:56:29"
109,23,6220,1,3.15,3.15,Delivered,"2024-08-05 00:00:00","2024-08-07 00:00:00",NULL,"2024-08-04 00:00:00","2026-04-16 11:56:29"
110,23,196,4,17.95,71.80,Delivered,"2024-08-07 00:00:00","2024-08-11 00:00:00",NULL,"2024-08-04 00:00:00","2026-04-16 11:56:29"
111,24,5310,1,9.34,9.34,Shipped,"2025-07-15 00:00:00",NULL,NULL,"2025-07-13 00:00:00","2026-04-16 11:56:29"
112,24,5533,4,2.27,9.08,Delivered,"2025-07-15 00:00:00","2025-07-19 00:00:00",NULL,"2025-07-13 00:00:00","2026-04-16 11:56:29"
113,24,4118,4,5.84,23.36,Canceled,NULL,NULL,"2025-07-15 00:00:00","2025-07-13 00:00:00","2026-04-17 10:29:05"
114,24,4574,2,11.31,22.62,Delivered,"2025-07-14 00:00:00","2025-07-19 00:00:00",NULL,"2025-07-13 00:00:00","2026-04-16 11:56:29"
115,25,8606,4,5.09,20.36,Delivered,"2025-03-22 00:00:00","2025-03-24 00:00:00",NULL,"2025-03-21 00:00:00","2026-04-16 11:56:29"
116,25,4700,2,6.55,13.10,Delivered,"2025-03-23 00:00:00","2025-03-27 00:00:00",NULL,"2025-03-21 00:00:00","2026-04-16 11:56:29"
117,25,593,4,2.31,9.24,Canceled,NULL,NULL,"2025-03-22 00:00:00","2025-03-21 00:00:00","2026-04-17 10:29:05"
118,26,427,5,11.11,55.55,Delivered,"2021-09-25 00:00:00","2021-09-28 00:00:00",NULL,"2021-09-22 00:00:00","2026-04-16 11:56:29"
119,26,7139,3,10.75,32.25,Delivered,"2021-09-24 00:00:00","2021-09-28 00:00:00",NULL,"2021-09-22 00:00:00","2026-04-16 11:56:29"
120,26,7837,3,2.59,7.77,Delivered,"2021-09-24 00:00:00","2021-09-28 00:00:00",NULL,"2021-09-22 00:00:00","2026-04-16 11:56:29"
121,26,586,5,15.29,76.45,Shipped,"2021-09-25 00:00:00",NULL,NULL,"2021-09-22 00:00:00","2026-04-16 11:56:29"
122,26,3047,4,3.98,15.92,Delivered,"2021-09-25 00:00:00","2021-09-29 00:00:00",NULL,"2021-09-22 00:00:00","2026-04-16 11:56:29"
123,26,5361,1,7.55,7.55,Delivered,"2021-09-25 00:00:00","2021-09-29 00:00:00",NULL,"2021-09-22 00:00:00","2026-04-16 11:56:29"
124,26,2454,1,2.18,2.18,Delivered,"2021-09-25 00:00:00","2021-09-28 00:00:00",NULL,"2021-09-22 00:00:00","2026-04-16 11:56:29"
125,26,9513,4,4.34,17.36,Delivered,"2021-09-25 00:00:00","2021-09-27 00:00:00",NULL,"2021-09-22 00:00:00","2026-04-16 11:56:29"
126,27,9254,4,8.50,34.00,Delivered,"2026-03-27 00:00:00","2026-03-30 00:00:00",NULL,"2026-03-26 00:00:00","2026-04-16 11:56:29"
127,27,114,2,18.88,37.76,Shipped,"2026-03-27 00:00:00",NULL,NULL,"2026-03-26 00:00:00","2026-04-16 11:56:29"
128,27,4643,3,8.87,26.61,Delivered,"2026-03-29 00:00:00","2026-03-30 00:00:00",NULL,"2026-03-26 00:00:00","2026-04-16 11:56:29"
129,27,786,4,14.01,56.04,Shipped,"2026-03-27 00:00:00",NULL,NULL,"2026-03-26 00:00:00","2026-04-16 11:56:29"
130,28,1651,2,12.12,24.24,Delivered,"2021-03-24 00:00:00","2021-03-27 00:00:00",NULL,"2021-03-23 00:00:00","2026-04-16 11:56:29"
131,28,3616,2,11.45,22.90,Shipped,"2021-03-24 00:00:00",NULL,NULL,"2021-03-23 00:00:00","2026-04-16 11:56:29"
132,28,4679,1,6.31,6.31,Canceled,NULL,NULL,"2021-03-24 00:00:00","2021-03-23 00:00:00","2026-04-17 10:29:05"
133,28,5870,5,12.78,63.90,Delivered,"2021-03-26 00:00:00","2021-03-30 00:00:00",NULL,"2021-03-23 00:00:00","2026-04-16 11:56:29"
134,28,9616,4,8.97,35.88,Shipped,"2021-03-26 00:00:00",NULL,NULL,"2021-03-23 00:00:00","2026-04-16 11:56:29"
135,28,8246,3,16.80,50.40,Delivered,"2021-03-24 00:00:00","2021-03-27 00:00:00",NULL,"2021-03-23 00:00:00","2026-04-16 11:56:29"
136,28,6357,1,18.99,18.99,Delivered,"2021-03-26 00:00:00","2021-03-31 00:00:00",NULL,"2021-03-23 00:00:00","2026-04-16 11:56:29"
137,29,7723,1,6.36,6.36,Canceled,NULL,NULL,"2024-05-17 00:00:00","2024-05-15 00:00:00","2026-04-17 10:29:05"
138,29,3908,4,1.70,6.80,Delivered,"2024-05-17 00:00:00","2024-05-18 00:00:00",NULL,"2024-05-15 00:00:00","2026-04-16 11:56:29"
139,29,2410,1,10.87,10.87,Delivered,"2024-05-16 00:00:00","2024-05-18 00:00:00",NULL,"2024-05-15 00:00:00","2026-04-16 11:56:29"
140,29,278,1,14.26,14.26,Delivered,"2024-05-18 00:00:00","2024-05-21 00:00:00",NULL,"2024-05-15 00:00:00","2026-04-16 11:56:29"
141,30,8709,5,3.76,18.80,Delivered,"2026-01-17 00:00:00","2026-01-18 00:00:00",NULL,"2026-01-14 00:00:00","2026-04-16 11:56:29"
142,30,1815,2,12.44,24.88,Delivered,"2026-01-15 00:00:00","2026-01-20 00:00:00",NULL,"2026-01-14 00:00:00","2026-04-16 11:56:29"
143,31,1354,4,10.40,41.60,Canceled,NULL,NULL,"2026-04-02 00:00:00","2026-04-02 00:00:00","2026-04-17 10:29:05"
144,31,1173,3,30.01,90.03,Delivered,"2026-04-03 00:00:00","2026-04-08 00:00:00",NULL,"2026-04-02 00:00:00","2026-04-16 11:56:29"
145,31,3857,4,7.92,31.68,Delivered,"2026-04-04 00:00:00","2026-04-07 00:00:00",NULL,"2026-04-02 00:00:00","2026-04-16 11:56:29"
146,31,3282,2,19.93,39.86,Shipped,"2026-04-04 00:00:00",NULL,NULL,"2026-04-02 00:00:00","2026-04-16 11:56:29"
147,31,195,2,7.66,15.32,Delivered,"2026-04-03 00:00:00","2026-04-07 00:00:00",NULL,"2026-04-02 00:00:00","2026-04-16 11:56:29"
148,31,2609,5,8.58,42.90,Delivered,"2026-04-04 00:00:00","2026-04-07 00:00:00",NULL,"2026-04-02 00:00:00","2026-04-16 11:56:29"
149,31,4135,2,8.97,17.94,Shipped,"2026-04-05 00:00:00",NULL,NULL,"2026-04-02 00:00:00","2026-04-16 11:56:29"
150,31,5416,5,3.19,15.95,Delivered,"2026-04-03 00:00:00","2026-04-06 00:00:00",NULL,"2026-04-02 00:00:00","2026-04-16 11:56:29"
151,32,2287,5,15.95,79.75,Delivered,"2025-02-14 00:00:00","2025-02-18 00:00:00",NULL,"2025-02-12 00:00:00","2026-04-16 11:56:29"
152,32,5980,2,5.45,10.90,Shipped,"2025-02-14 00:00:00",NULL,NULL,"2025-02-12 00:00:00","2026-04-16 11:56:29"
153,32,9893,1,4.83,4.83,Delivered,"2025-02-14 00:00:00","2025-02-19 00:00:00",NULL,"2025-02-12 00:00:00","2026-04-16 11:56:29"
154,32,7997,3,6.00,18.00,Shipped,"2025-02-13 00:00:00",NULL,NULL,"2025-02-12 00:00:00","2026-04-16 11:56:29"
155,32,1096,4,7.43,29.72,Delivered,"2025-02-13 00:00:00","2025-02-15 00:00:00",NULL,"2025-02-12 00:00:00","2026-04-16 11:56:29"
156,32,1367,5,4.93,24.65,Delivered,"2025-02-13 00:00:00","2025-02-17 00:00:00",NULL,"2025-02-12 00:00:00","2026-04-16 11:56:29"
157,32,1409,1,8.87,8.87,Delivered,"2025-02-13 00:00:00","2025-02-16 00:00:00",NULL,"2025-02-12 00:00:00","2026-04-16 11:56:29"
158,33,940,2,5.69,11.38,Delivered,"2025-04-04 00:00:00","2025-04-06 00:00:00",NULL,"2025-04-01 00:00:00","2026-04-16 11:56:29"
159,33,28,1,4.75,4.75,Delivered,"2025-04-04 00:00:00","2025-04-08 00:00:00",NULL,"2025-04-01 00:00:00","2026-04-16 11:56:29"
160,33,9858,4,4.02,16.08,Delivered,"2025-04-02 00:00:00","2025-04-04 00:00:00",NULL,"2025-04-01 00:00:00","2026-04-16 11:56:29"
161,33,3910,3,14.35,43.05,Delivered,"2025-04-03 00:00:00","2025-04-05 00:00:00",NULL,"2025-04-01 00:00:00","2026-04-16 11:56:29"
162,33,8421,4,8.53,34.12,Canceled,NULL,NULL,"2025-04-02 00:00:00","2025-04-01 00:00:00","2026-04-17 10:29:05"
163,34,3574,1,7.60,7.60,Delivered,"2023-04-25 00:00:00","2023-04-27 00:00:00",NULL,"2023-04-22 00:00:00","2026-04-16 11:56:29"
164,34,242,2,9.88,19.76,Delivered,"2023-04-24 00:00:00","2023-04-25 00:00:00",NULL,"2023-04-22 00:00:00","2026-04-16 11:56:29"
165,34,8034,1,4.04,4.04,Shipped,"2023-04-24 00:00:00",NULL,NULL,"2023-04-22 00:00:00","2026-04-16 11:56:29"
166,34,3077,1,5.06,5.06,Delivered,"2023-04-25 00:00:00","2023-04-28 00:00:00",NULL,"2023-04-22 00:00:00","2026-04-16 11:56:29"
167,34,2703,2,9.19,18.38,Delivered,"2023-04-25 00:00:00","2023-04-26 00:00:00",NULL,"2023-04-22 00:00:00","2026-04-16 11:56:29"
168,35,7587,3,2.12,6.36,Delivered,"2024-10-20 00:00:00","2024-10-25 00:00:00",NULL,"2024-10-18 00:00:00","2026-04-16 11:56:29"
169,35,9967,5,2.98,14.90,Delivered,"2024-10-20 00:00:00","2024-10-21 00:00:00",NULL,"2024-10-18 00:00:00","2026-04-16 11:56:29"
170,35,3301,3,11.66,34.98,Delivered,"2024-10-20 00:00:00","2024-10-22 00:00:00",NULL,"2024-10-18 00:00:00","2026-04-16 11:56:29"
171,35,5688,5,7.20,36.00,Shipped,"2024-10-20 00:00:00",NULL,NULL,"2024-10-18 00:00:00","2026-04-16 11:56:29"
172,36,7547,3,6.02,18.06,Delivered,"2023-11-27 00:00:00","2023-11-28 00:00:00",NULL,"2023-11-26 00:00:00","2026-04-16 11:56:29"
173,36,2771,4,30.82,123.28,Delivered,"2023-11-28 00:00:00","2023-12-02 00:00:00",NULL,"2023-11-26 00:00:00","2026-04-16 11:56:29"
174,36,9863,1,6.10,6.10,Delivered,"2023-11-29 00:00:00","2023-12-03 00:00:00",NULL,"2023-11-26 00:00:00","2026-04-16 11:56:29"
175,36,1514,3,7.65,22.95,Canceled,NULL,NULL,"2023-11-28 00:00:00","2023-11-26 00:00:00","2026-04-17 10:29:05"
176,36,3480,3,27.54,82.62,Delivered,"2023-11-29 00:00:00","2023-11-30 00:00:00",NULL,"2023-11-26 00:00:00","2026-04-16 11:56:29"
177,36,2119,5,6.93,34.65,Delivered,"2023-11-27 00:00:00","2023-12-01 00:00:00",NULL,"2023-11-26 00:00:00","2026-04-16 11:56:29"
