order_id,customer_id,order_date,total_amount,delivery_cost,date_created,date_updated
20,137,"2026-02-05 00:00:00",165.16,0.00,"2026-02-05 00:00:00","2026-04-16 11:56:29"
21,194,"2023-10-18 00:00:00",109.87,0.00,"2023-10-18 00:00:00","2026-04-16 11:56:29"
22,297,"2025-12-29 00:00:00",271.81,0.00,"2025-12-29 00:00:00","2026-04-16 11:56:29"
23,148,"2024-08-04 00:00:00",163.54,0.00,"2024-08-04 00:00:00","2026-04-16 11:56:29"
24,155,"2025-07-13 00:00:00",64.40,5.00,"2025-07-13 00:00:00","2026-04-16 11:56:29"
25,67,"2025-03-21 00:00:00",42.70,10.00,"2025-03-21 00:00:00","2026-04-16 11:56:29"
26,74,"2021-09-22 00:00:00",215.03,0.00,"2021-09-22 00:00:00","2026-04-16 11:56:29"
27,155,"2026-03-26 00:00:00",154.41,0.00,"2026-03-26 00:00:00","2026-04-16 11:56:29"
28,138,"2021-03-23 00:00:00",222.62,0.00,"2021-03-23 00:00:00","2026-04-16 11:56:29"
29,15,"2024-05-15 00:00:00",38.29,10.00,"2024-05-15 00:00:00","2026-04-16 11:56:29"
30,241,"2026-01-14 00:00:00",43.68,10.00,"2026-01-14 00:00:00","2026-04-16 11:56:29"
31,146,"2026-04-02 00:00:00",295.28,0.00,"2026-04-02 00:00:00","2026-04-16 11:56:29"
32,102,"2025-02-12 00:00:00",176.72,0.00,"2025-02-12 00:00:00","2026-04-16 11:56:29"
33,270,"2025-04-01 00:00:00",109.38,0.00,"2025-04-01 00:00:00","2026-04-16 11:56:29"
34,267,"2023-04-22 00:00:00",54.84,5.00,"2023-04-22 00:00:00","2026-04-16 11:56:29"
35,106,"2024-10-18 00:00:00",92.24,0.00,"2024-10-18 00:00:00","2026-04-16 11:56:29"
36,270,"2023-11-26 00:00:00",287.66,0.00,"2023-11-26 00:00:00","2026-04-16 11:56:29"
37,136,"2025-07-11 00:00:00",225.90,0.00,"2025-07-11 00:00:00","2026-04-16 11:56:29"
38,31,"2023-09-19 00:00:00",220.31,0.00,"2023-09-19 00:00:00","2026-04-16 11:56:29"
39,173,"2026-01-17 00:00:00",198.43,0.00,"2026-01-17 00:00:00","2026-04-16 11:56:29"
40,204,"2025-11-13 00:00:00",405.78,0.00,"2025-11-13 00:00:00","2026-04-16 11:56:29"
41,196,"2026-04-08 00:00:00",167.12,0.00,"2026-04-08 00:00:00","2026-04-16 11:56:29"
42,77,"2024-11-24 00:00:00",176.54,0.00,"2024-11-24 00:00:00","2026-04-16 11:56:29"
43,293,"2025-11-11 00:00:00",143.42,0.00,"2025-11-11 00:00:00","2026-04-16 11:56:29"
44,27,"2025-11-23 00:00:00",33.70,10.00,"2025-11-23 00:00:00","2026-04-16 11:56:29"
45,118,"2021-02-15 00:00:00",146.48,0.00,"2021-02-15 00:00:00","2026-04-16 11:56:29"
46,260,"2021-11-04 00:00:00",251.36,0.00,"2021-11-04 00:00:00","2026-04-16 11:56:29"
47,275,"2021-11-12 00:00:00",234.73,0.00,"2021-11-12 00:00:00","2026-04-16 11:56:29"
48,17,"2025-01-07 00:00:00",218.08,0.00,"2025-01-07 00:00:00","2026-04-16 11:56:29"
49,138,"2020-04-20 00:00:00",61.14,5.00,"2020-04-20 00:00:00","2026-04-16 11:56:29"
50,57,"2025-10-04 00:00:00",172.79,0.00,"2025-10-04 00:00:00","2026-04-16 11:56:29"
51,290,"2022-03-18 00:00:00",55.12,5.00,"2022-03-18 00:00:00","2026-04-16 11:56:29"
52,98,"2022-07-05 00:00:00",44.89,10.00,"2022-07-05 00:00:00","2026-04-16 11:56:29"
53,149,"2026-03-26 00:00:00",99.97,0.00,"2026-03-26 00:00:00","2026-04-16 11:56:29"
54,170,"2025-05-14 00:00:00",205.35,0.00,"2025-05-14 00:00:00","2026-04-16 11:56:29"
55,231,"2024-08-16 00:00:00",278.80,0.00,"2024-08-16 00:00:00","2026-04-16 11:56:29"
56,126,"2022-05-04 00:00:00",119.14,0.00,"2022-05-04 00:00:00","2026-04-16 11:56:29"
57,166,"2024-07-07 00:00:00",115.70,0.00,"2024-07-07 00:00:00","2026-04-16 11:56:29"
58,279,"2024-10-26 00:00:00",335.68,0.00,"2024-10-26 00:00:00","2026-04-16 11:56:29"
59,82,"2024-06-04 00:00:00",329.04,0.00,"2024-06-04 00:00:00","2026-04-16 11:56:29"
60,145,"2025-05-06 00:00:00",43.35,10.00,"2025-05-06 00:00:00","2026-04-16 11:56:29"
61,105,"2024-09-24 00:00:00",164.82,0.00,"2024-09-24 00:00:00","2026-04-16 11:56:29"
62,74,"2023-10-18 00:00:00",70.78,5.00,"2023-10-18 00:00:00","2026-04-16 11:56:29"
63,158,"2025-05-01 00:00:00",139.42,0.00,"2025-05-01 00:00:00","2026-04-16 11:56:29"
64,59,"2022-01-27 00:00:00",310.81,0.00,"2022-01-27 00:00:00","2026-04-16 11:56:29"
65,225,"2025-11-16 00:00:00",130.56,0.00,"2025-11-16 00:00:00","2026-04-16 11:56:29"
66,68,"2026-03-30 00:00:00",59.58,5.00,"2026-03-30 00:00:00","2026-04-16 11:56:29"
67,39,"2022-03-02 00:00:00",166.17,0.00,"2022-03-02 00:00:00","2026-04-16 11:56:29"
68,200,"2025-09-06 00:00:00",36.25,10.00,"2025-09-06 00:00:00","2026-04-16 11:56:29"
69,40,"2025-11-12 00:00:00",196.58,0.00,"2025-11-12 00:00:00","2026-04-16 11:56:29"
70,143,"2024-08-29 00:00:00",361.26,0.00,"2024-08-29 00:00:00","2026-04-16 11:56:29"
71,16,"2026-04-15 00:00:00",196.74,0.00,"2026-04-15 00:00:00","2026-04-16 11:56:29"
72,273,"2024-12-10 00:00:00",26.15,10.00,"2024-12-10 00:00:00","2026-04-16 11:56:29"
73,248,"2023-10-23 00:00:00",337.24,0.00,"2023-10-23 00:00:00","2026-04-16 11:56:29"
74,83,"2025-10-05 00:00:00",210.80,0.00,"2025-10-05 00:00:00","2026-04-16 11:56:29"
75,276,"2024-11-29 00:00:00",302.36,0.00,"2024-11-29 00:00:00","2026-04-16 11:56:29"
76,216,"2025-01-30 00:00:00",60.77,5.00,"2025-01-30 00:00:00","2026-04-16 11:56:29"
77,195,"2025-04-01 00:00:00",281.56,0.00,"2025-04-01 00:00:00","2026-04-16 11:56:29"
78,129,"2024-03-15 00:00:00",297.48,0.00,"2024-03-15 00:00:00","2026-04-16 11:56:29"
79,156,"2026-03-21 00:00:00",207.60,0.00,"2026-03-21 00:00:00","2026-04-16 11:56:29"
80,186,"2026-01-12 00:00:00",19.49,25.00,"2026-01-12 00:00:00","2026-04-16 11:56:29"
81,15,"2022-10-07 00:00:00",137.94,0.00,"2022-10-07 00:00:00","2026-04-16 11:56:29"
82,204,"2024-11-03 00:00:00",436.31,0.00,"2024-11-03 00:00:00","2026-04-16 11:56:29"
83,213,"2024-11-11 00:00:00",55.68,5.00,"2024-11-11 00:00:00","2026-04-16 11:56:29"
84,83,"2023-12-13 00:00:00",151.13,0.00,"2023-12-13 00:00:00","2026-04-16 11:56:29"
85,22,"2023-06-24 00:00:00",174.62,0.00,"2023-06-24 00:00:00","2026-04-16 11:56:29"
86,23,"2025-10-02 00:00:00",142.04,0.00,"2025-10-02 00:00:00","2026-04-16 11:56:29"
87,161,"2025-03-01 00:00:00",180.43,0.00,"2025-03-01 00:00:00","2026-04-16 11:56:29"
88,210,"2026-03-03 00:00:00",206.38,0.00,"2026-03-03 00:00:00","2026-04-16 11:56:29"
89,275,"2023-01-13 00:00:00",109.77,0.00,"2023-01-13 00:00:00","2026-04-16 11:56:29"
90,228,"2024-09-15 00:00:00",43.51,10.00,"2024-09-15 00:00:00","2026-04-16 11:56:29"
91,27,"2024-05-15 00:00:00",52.26,5.00,"2024-05-15 00:00:00","2026-04-16 11:56:29"
92,103,"2023-09-09 00:00:00",80.89,0.00,"2023-09-09 00:00:00","2026-04-16 11:56:29"
93,117,"2026-03-14 00:00:00",172.91,0.00,"2026-03-14 00:00:00","2026-04-16 11:56:29"
94,276,"2025-04-20 00:00:00",131.11,0.00,"2025-04-20 00:00:00","2026-04-16 11:56:29"
95,292,"2025-02-03 00:00:00",99.97,0.00,"2025-02-03 00:00:00","2026-04-16 11:56:29"
96,66,"2023-03-09 00:00:00",309.49,0.00,"2023-03-09 00:00:00","2026-04-16 11:56:29"
97,87,"2026-02-19 00:00:00",144.33,0.00,"2026-02-19 00:00:00","2026-04-16 11:56:29"
98,147,"2022-05-21 00:00:00",135.61,0.00,"2022-05-21 00:00:00","2026-04-16 11:56:29"
99,276,"2024-11-30 00:00:00",82.27,0.00,"2024-11-30 00:00:00","2026-04-16 11:56:29"
100,108,"2026-03-24 00:00:00",259.13,0.00,"2026-03-24 00:00:00","2026-04-16 11:56:29"
101,176,"2026-03-12 00:00:00",308.64,0.00,"2026-03-12 00:00:00","2026-04-16 11:56:29"
102,200,"2026-03-30 00:00:00",109.27,0.00,"2026-03-30 00:00:00","2026-04-16 11:56:29"
103,159,"2025-01-17 00:00:00",306.16,0.00,"2025-01-17 00:00:00","2026-04-16 11:56:29"
104,249,"2024-10-30 00:00:00",110.76,0.00,"2024-10-30 00:00:00","2026-04-16 11:56:29"
105,94,"2024-11-03 00:00:00",80.68,0.00,"2024-11-03 00:00:00","2026-04-16 11:56:29"
106,37,"2022-12-17 00:00:00",194.97,0.00,"2022-12-17 00:00:00","2026-04-16 11:56:29"
107,294,"2025-06-21 00:00:00",139.20,0.00,"2025-06-21 00:00:00","2026-04-16 11:56:29"
108,106,"2025-01-23 00:00:00",126.09,0.00,"2025-01-23 00:00:00","2026-04-16 11:56:29"
109,61,"2025-04-17 00:00:00",32.76,10.00,"2025-04-17 00:00:00","2026-04-16 11:56:29"
110,150,"2026-02-19 00:00:00",185.33,0.00,"2026-02-19 00:00:00","2026-04-16 11:56:29"
111,212,"2023-01-18 00:00:00",189.88,0.00,"2023-01-18 00:00:00","2026-04-16 11:56:29"
112,283,"2020-10-02 00:00:00",53.66,5.00,"2020-10-02 00:00:00","2026-04-16 11:56:29"
113,142,"2024-03-11 00:00:00",47.15,10.00,"2024-03-11 00:00:00","2026-04-16 11:56:29"
114,16,"2026-04-13 00:00:00",323.39,0.00,"2026-04-13 00:00:00","2026-04-16 11:56:29"
115,106,"2024-08-14 00:00:00",206.60,0.00,"2024-08-14 00:00:00","2026-04-16 11:56:29"
116,4,"2023-02-23 00:00:00",46.77,10.00,"2023-02-23 00:00:00","2026-04-16 11:56:29"
117,85,"2025-10-27 00:00:00",110.19,0.00,"2025-10-27 00:00:00","2026-04-16 11:56:29"
118,9,"2026-02-26 00:00:00",37.73,10.00,"2026-02-26 00:00:00","2026-04-16 11:56:29"
119,127,"2026-03-12 00:00:00",179.80,0.00,"2026-03-12 00:00:00","2026-04-16 11:56:29"
120,90,"2025-10-01 00:00:00",118.26,0.00,"2025-10-01 00:00:00","2026-04-16 11:56:29"
121,267,"2021-09-13 00:00:00",127.84,0.00,"2021-09-13 00:00:00","2026-04-16 11:56:29"
122,74,"2022-06-20 00:00:00",252.22,0.00,"2022-06-20 00:00:00","2026-04-16 11:56:29"
123,105,"2024-12-04 00:00:00",233.20,0.00,"2024-12-04 00:00:00","2026-04-16 11:56:29"
124,114,"2024-02-24 00:00:00",76.76,0.00,"2024-02-24 00:00:00","2026-04-16 11:56:29"
125,295,"2025-10-14 00:00:00",62.28,5.00,"2025-10-14 00:00:00","2026-04-16 11:56:29"
126,168,"2025-09-18 00:00:00",37.12,10.00,"2025-09-18 00:00:00","2026-04-16 11:56:29"
127,243,"2024-09-20 00:00:00",41.97,10.00,"2024-09-20 00:00:00","2026-04-16 11:56:29"
128,169,"2026-02-18 00:00:00",190.72,0.00,"2026-02-18 00:00:00","2026-04-16 11:56:29"
129,257,"2025-05-26 00:00:00",174.91,0.00,"2025-05-26 00:00:00","2026-04-16 11:56:29"
130,96,"2026-02-11 00:00:00",24.60,25.00,"2026-02-11 00:00:00","2026-04-16 11:56:29"
131,238,"2024-11-26 00:00:00",119.53,0.00,"2024-11-26 00:00:00","2026-04-16 11:56:29"
132,27,"2025-05-22 00:00:00",52.23,5.00,"2025-05-22 00:00:00","2026-04-16 11:56:29"
133,118,"2023-03-04 00:00:00",160.62,0.00,"2023-03-04 00:00:00","2026-04-16 11:56:29"
134,262,"2024-02-16 00:00:00",127.01,0.00,"2024-02-16 00:00:00","2026-04-16 11:56:29"
135,59,"2024-05-04 00:00:00",97.84,0.00,"2024-05-04 00:00:00","2026-04-16 11:56:29"
136,269,"2025-04-30 00:00:00",50.44,5.00,"2025-04-30 00:00:00","2026-04-16 11:56:29"
137,15,"2022-10-27 00:00:00",14.62,25.00,"2022-10-27 00:00:00","2026-04-16 11:56:29"
138,171,"2023-01-02 00:00:00",212.43,0.00,"2023-01-02 00:00:00","2026-04-16 11:56:29"
139,298,"2025-12-04 00:00:00",216.37,0.00,"2025-12-04 00:00:00","2026-04-16 11:56:29"
140,27,"2024-07-27 00:00:00",141.85,0.00,"2024-07-27 00:00:00","2026-04-16 11:56:29"
141,168,"2025-03-26 00:00:00",105.44,0.00,"2025-03-26 00:00:00","2026-04-16 11:56:29"
142,294,"2024-04-21 00:00:00",168.21,0.00,"2024-04-21 00:00:00","2026-04-16 11:56:29"
143,125,"2023-08-04 00:00:00",291.81,0.00,"2023-08-04 00:00:00","2026-04-16 11:56:29"
144,26,"2024-01-27 00:00:00",301.57,0.00,"2024-01-27 00:00:00","2026-04-16 11:56:29"
145,216,"2025-02-20 00:00:00",130.66,0.00,"2025-02-20 00:00:00","2026-04-16 11:56:29"
146,223,"2025-02-17 00:00:00",245.02,0.00,"2025-02-17 00:00:00","2026-04-16 11:56:29"
147,211,"2024-09-05 00:00:00",162.55,0.00,"2024-09-05 00:00:00","2026-04-16 11:56:29"
148,209,"2025-10-11 00:00:00",272.32,0.00,"2025-10-11 00:00:00","2026-04-16 11:56:29"
149,244,"2024-10-12 00:00:00",105.54,0.00,"2024-10-12 00:00:00","2026-04-16 11:56:29"
150,110,"2026-02-07 00:00:00",75.85,0.00,"2026-02-07 00:00:00","2026-04-16 11:56:29"
151,184,"2026-04-03 00:00:00",76.63,0.00,"2026-04-03 00:00:00","2026-04-16 11:56:29"
152,226,"2021-06-16 00:00:00",174.85,0.00,"2021-06-16 00:00:00","2026-04-16 11:56:29"
153,100,"2024-01-14 00:00:00",22.22,25.00,"2024-01-14 00:00:00","2026-04-16 11:56:29"
154,289,"2026-02-22 00:00:00",166.50,0.00,"2026-02-22 00:00:00","2026-04-16 11:56:29"
155,214,"2023-03-18 00:00:00",325.56,0.00,"2023-03-18 00:00:00","2026-04-16 11:56:29"
156,154,"2026-02-21 00:00:00",54.64,5.00,"2026-02-21 00:00:00","2026-04-16 11:56:29"
157,280,"2024-07-23 00:00:00",315.04,0.00,"2024-07-23 00:00:00","2026-04-16 11:56:29"
158,76,"2025-01-03 00:00:00",140.18,0.00,"2025-01-03 00:00:00","2026-04-16 11:56:29"
159,26,"2025-09-18 00:00:00",5.91,25.00,"2025-09-18 00:00:00","2026-04-16 11:56:29"
160,132,"2023-02-16 00:00:00",62.45,5.00,"2023-02-16 00:00:00","2026-04-16 11:56:29"
161,143,"2023-07-18 00:00:00",193.96,0.00,"2023-07-18 00:00:00","2026-04-16 11:56:29"
162,175,"2022-08-11 00:00:00",91.67,0.00,"2022-08-11 00:00:00","2026-04-16 11:56:29"
163,134,"2024-09-30 00:00:00",236.67,0.00,"2024-09-30 00:00:00","2026-04-16 11:56:29"
164,289,"2025-11-03 00:00:00",134.79,0.00,"2025-11-03 00:00:00","2026-04-16 11:56:29"
165,62,"2024-08-20 00:00:00",164.35,0.00,"2024-08-20 00:00:00","2026-04-16 11:56:29"
166,157,"2021-11-21 00:00:00",206.16,0.00,"2021-11-21 00:00:00","2026-04-16 11:56:29"
167,124,"2024-06-12 00:00:00",323.77,0.00,"2024-06-12 00:00:00","2026-04-16 11:56:29"
168,143,"2023-10-12 00:00:00",100.62,0.00,"2023-10-12 00:00:00","2026-04-16 11:56:29"
169,219,"2022-01-02 00:00:00",147.53,0.00,"2022-01-02 00:00:00","2026-04-16 11:56:29"
170,92,"2026-03-29 00:00:00",144.62,0.00,"2026-03-29 00:00:00","2026-04-16 11:56:29"
171,146,"2025-01-08 00:00:00",247.83,0.00,"2025-01-08 00:00:00","2026-04-16 11:56:29"
172,56,"2021-12-12 00:00:00",94.08,0.00,"2021-12-12 00:00:00","2026-04-16 11:56:29"
173,1,"2026-04-05 00:00:00",48.98,10.00,"2026-04-05 00:00:00","2026-04-16 11:56:29"
174,211,"2024-10-03 00:00:00",46.85,10.00,"2024-10-03 00:00:00","2026-04-16 11:56:29"
175,242,"2020-09-03 00:00:00",78.83,0.00,"2020-09-03 00:00:00","2026-04-16 11:56:29"
176,158,"2025-01-24 00:00:00",61.04,5.00,"2025-01-24 00:00:00","2026-04-16 11:56:29"
177,176,"2026-04-13 00:00:00",134.47,0.00,"2026-04-13 00:00:00","2026-04-16 11:56:29"
178,178,"2025-05-15 00:00:00",214.21,0.00,"2025-05-15 00:00:00","2026-04-16 11:56:29"
179,194,"2025-09-20 00:00:00",211.15,0.00,"2025-09-20 00:00:00","2026-04-16 11:56:29"
180,177,"2025-08-21 00:00:00",197.06,0.00,"2025-08-21 00:00:00","2026-04-16 11:56:29"
181,263,"2020-02-21 00:00:00",51.22,5.00,"2020-02-21 00:00:00","2026-04-16 11:56:29"
182,297,"2025-03-22 00:00:00",154.82,0.00,"2025-03-22 00:00:00","2026-04-16 11:56:29"
183,177,"2025-06-06 00:00:00",20.56,25.00,"2025-06-06 00:00:00","2026-04-16 11:56:29"
184,17,"2024-08-21 00:00:00",343.06,0.00,"2024-08-21 00:00:00","2026-04-16 11:56:29"
185,218,"2024-11-11 00:00:00",225.79,0.00,"2024-11-11 00:00:00","2026-04-16 11:56:29"
186,121,"2024-10-11 00:00:00",77.95,0.00,"2024-10-11 00:00:00","2026-04-16 11:56:29"
187,226,"2023-12-30 00:00:00",117.36,0.00,"2023-12-30 00:00:00","2026-04-16 11:56:29"
188,58,"2024-01-12 00:00:00",84.02,0.00,"2024-01-12 00:00:00","2026-04-16 11:56:29"
189,59,"2023-01-23 00:00:00",124.13,0.00,"2023-01-23 00:00:00","2026-04-16 11:56:29"
190,191,"2026-04-08 00:00:00",52.18,5.00,"2026-04-08 00:00:00","2026-04-16 11:56:29"
191,220,"2025-12-03 00:00:00",76.98,0.00,"2025-12-03 00:00:00","2026-04-16 11:56:29"
192,6,"2025-12-31 00:00:00",223.81,0.00,"2025-12-31 00:00:00","2026-04-16 11:56:29"
193,126,"2023-05-25 00:00:00",211.77,0.00,"2023-05-25 00:00:00","2026-04-16 11:56:29"
194,129,"2023-10-28 00:00:00",71.47,5.00,"2023-10-28 00:00:00","2026-04-16 11:56:29"
195,4,"2023-04-10 00:00:00",273.11,0.00,"2023-04-10 00:00:00","2026-04-16 11:56:29"
196,57,"2023-12-23 00:00:00",52.75,5.00,"2023-12-23 00:00:00","2026-04-16 11:56:29"
197,236,"2025-12-11 00:00:00",153.71,0.00,"2025-12-11 00:00:00","2026-04-16 11:56:29"
198,214,"2022-05-21 00:00:00",26.00,10.00,"2022-05-21 00:00:00","2026-04-16 11:56:29"
199,3,"2024-06-06 00:00:00",144.50,0.00,"2024-06-06 00:00:00","2026-04-16 11:56:29"
200,67,"2022-08-03 00:00:00",259.75,0.00,"2022-08-03 00:00:00","2026-04-16 11:56:29"
201,175,"2025-04-08 00:00:00",146.68,0.00,"2025-04-08 00:00:00","2026-04-16 11:56:29"
202,222,"2026-03-28 00:00:00",194.61,0.00,"2026-03-28 00:00:00","2026-04-16 11:56:29"
203,126,"2023-10-03 00:00:00",212.79,0.00,"2023-10-03 00:00:00","2026-04-16 11:56:29"
204,194,"2025-03-06 00:00:00",150.13,0.00,"2025-03-06 00:00:00","2026-04-16 11:56:29"
205,67,"2025-09-18 00:00:00",133.01,0.00,"2025-09-18 00:00:00","2026-04-16 11:56:29"
206,130,"2025-11-05 00:00:00",156.83,0.00,"2025-11-05 00:00:00","2026-04-16 11:56:29"
207,118,"2022-05-12 00:00:00",203.59,0.00,"2022-05-12 00:00:00","2026-04-16 11:56:29"
208,281,"2023-05-13 00:00:00",159.22,0.00,"2023-05-13 00:00:00","2026-04-16 11:56:29"
209,245,"2025-07-18 00:00:00",127.11,0.00,"2025-07-18 00:00:00","2026-04-16 11:56:29"
210,62,"2025-04-16 00:00:00",129.81,0.00,"2025-04-16 00:00:00","2026-04-16 11:56:29"
211,16,"2026-04-15 00:00:00",36.28,10.00,"2026-04-15 00:00:00","2026-04-16 11:56:29"
212,237,"2026-02-15 00:00:00",187.35,0.00,"2026-02-15 00:00:00","2026-04-16 11:56:29"
213,281,"2023-04-25 00:00:00",330.98,0.00,"2023-04-25 00:00:00","2026-04-16 11:56:29"
214,281,"2025-11-21 00:00:00",66.90,5.00,"2025-11-21 00:00:00","2026-04-16 11:56:29"
215,194,"2025-05-07 00:00:00",125.52,0.00,"2025-05-07 00:00:00","2026-04-16 11:56:29"
216,185,"2024-12-27 00:00:00",18.18,25.00,"2024-12-27 00:00:00","2026-04-16 11:56:29"
217,50,"2023-07-10 00:00:00",55.93,5.00,"2023-07-10 00:00:00","2026-04-16 11:56:29"
218,236,"2024-12-11 00:00:00",214.39,0.00,"2024-12-11 00:00:00","2026-04-16 11:56:29"
219,87,"2026-03-24 00:00:00",39.47,10.00,"2026-03-24 00:00:00","2026-04-16 11:56:29"
220,127,"2026-01-12 00:00:00",277.34,0.00,"2026-01-12 00:00:00","2026-04-16 11:56:29"
221,96,"2024-11-03 00:00:00",187.40,0.00,"2024-11-03 00:00:00","2026-04-16 11:56:29"
222,79,"2024-05-02 00:00:00",52.51,5.00,"2024-05-02 00:00:00","2026-04-16 11:56:29"
223,111,"2022-03-21 00:00:00",26.16,10.00,"2022-03-21 00:00:00","2026-04-16 11:56:29"
224,154,"2024-03-31 00:00:00",227.94,0.00,"2024-03-31 00:00:00","2026-04-16 11:56:29"
225,214,"2025-05-16 00:00:00",48.89,10.00,"2025-05-16 00:00:00","2026-04-16 11:56:29"
226,54,"2024-01-04 00:00:00",6.85,25.00,"2024-01-04 00:00:00","2026-04-16 11:56:29"
227,296,"2025-08-11 00:00:00",34.74,10.00,"2025-08-11 00:00:00","2026-04-16 11:56:29"
228,243,"2026-04-09 00:00:00",104.89,0.00,"2026-04-09 00:00:00","2026-04-16 11:56:29"
229,134,"2023-06-25 00:00:00",169.53,0.00,"2023-06-25 00:00:00","2026-04-16 11:56:29"
230,78,"2026-02-26 00:00:00",26.16,10.00,"2026-02-26 00:00:00","2026-04-16 11:56:29"
231,220,"2024-07-29 00:00:00",190.32,0.00,"2024-07-29 00:00:00","2026-04-16 11:56:29"
232,175,"2024-01-26 00:00:00",151.91,0.00,"2024-01-26 00:00:00","2026-04-16 11:56:29"
233,113,"2025-12-01 00:00:00",104.57,0.00,"2025-12-01 00:00:00","2026-04-16 11:56:29"
234,180,"2025-08-09 00:00:00",121.46,0.00,"2025-08-09 00:00:00","2026-04-16 11:56:29"
235,286,"2022-10-27 00:00:00",167.08,0.00,"2022-10-27 00:00:00","2026-04-16 11:56:29"
236,75,"2026-02-25 00:00:00",117.65,0.00,"2026-02-25 00:00:00","2026-04-16 11:56:29"
237,192,"2024-05-09 00:00:00",74.56,5.00,"2024-05-09 00:00:00","2026-04-16 11:56:29"
238,235,"2024-12-30 00:00:00",38.38,10.00,"2024-12-30 00:00:00","2026-04-16 11:56:29"
239,289,"2025-06-22 00:00:00",225.24,0.00,"2025-06-22 00:00:00","2026-04-16 11:56:29"
240,41,"2024-07-08 00:00:00",40.44,10.00,"2024-07-08 00:00:00","2026-04-16 11:56:29"
241,26,"2025-12-26 00:00:00",31.14,10.00,"2025-12-26 00:00:00","2026-04-16 11:56:29"
242,180,"2026-02-04 00:00:00",97.29,0.00,"2026-02-04 00:00:00","2026-04-16 11:56:29"
243,123,"2025-10-13 00:00:00",101.42,0.00,"2025-10-13 00:00:00","2026-04-16 11:56:29"
244,70,"2025-11-01 00:00:00",128.34,0.00,"2025-11-01 00:00:00","2026-04-16 11:56:29"
245,219,"2021-12-09 00:00:00",43.48,10.00,"2021-12-09 00:00:00","2026-04-16 11:56:29"
246,4,"2022-12-10 00:00:00",45.94,10.00,"2022-12-10 00:00:00","2026-04-16 11:56:29"
247,124,"2026-04-15 00:00:00",67.76,5.00,"2026-04-15 00:00:00","2026-04-16 11:56:29"
248,39,"2023-02-11 00:00:00",28.30,10.00,"2023-02-11 00:00:00","2026-04-16 11:56:29"
249,1,"2025-07-25 00:00:00",225.68,0.00,"2025-07-25 00:00:00","2026-04-16 11:56:29"
250,212,"2023-02-10 00:00:00",355.01,0.00,"2023-02-10 00:00:00","2026-04-16 11:56:29"
251,1,"2026-04-07 00:00:00",211.64,0.00,"2026-04-07 00:00:00","2026-04-16 11:56:29"
252,59,"2025-05-24 00:00:00",304.09,0.00,"2025-05-24 00:00:00","2026-04-16 11:56:29"
253,120,"2025-07-13 00:00:00",15.40,25.00,"2025-07-13 00:00:00","2026-04-16 11:56:29"
254,32,"2023-09-10 00:00:00",36.80,10.00,"2023-09-10 00:00:00","2026-04-16 11:56:29"
255,12,"2025-02-25 00:00:00",174.00,0.00,"2025-02-25 00:00:00","2026-04-16 11:56:29"
256,255,"2021-01-13 00:00:00",96.05,0.00,"2021-01-13 00:00:00","2026-04-16 11:56:29"
257,225,"2025-10-29 00:00:00",131.84,0.00,"2025-10-29 00:00:00","2026-04-16 11:56:29"
258,33,"2026-04-09 00:00:00",47.66,10.00,"2026-04-09 00:00:00","2026-04-16 11:56:29"
