order_id,order_item_id,product_key,customer_key,order_date_key,ship_date_key,delivered_date_key,canceled_date_key,order_datetime,order_delivery_fee,ship_datetime,delivered_datetime,canceled_datetime,quantity,unit_price,line_total,item_status
5,23,393,89,20241029,20241031,20241102,NULL,"2024-10-29 10:18:31",0.00,"2024-10-31 10:09:00","2024-11-02 18:19:00",NULL,5,5.17,25.85,DELIVERED
5,26,3966,89,20241029,20241031,20241102,NULL,"2024-10-29 10:18:31",0.00,"2024-10-31 11:26:00","2024-11-02 09:58:00",NULL,5,7.10,35.50,DELIVERED
6,28,3908,194,20250312,20250313,20250315,NULL,"2025-03-12 07:54:17",0.00,"2025-03-13 11:02:00","2025-03-15 18:49:03",NULL,3,6.91,20.73,DELIVERED
6,29,2004,194,20250312,20250315,20250317,NULL,"2025-03-12 07:54:17",0.00,"2025-03-15 10:18:00","2025-03-17 15:32:00",NULL,5,8.30,41.50,DELIVERED
6,30,2477,194,20250312,NULL,NULL,20250314,"2025-03-12 07:54:17",0.00,NULL,NULL,"2025-03-14 00:00:00",4,8.16,32.64,CANCELED
7,32,2748,97,20250325,20250327,20250328,NULL,"2025-03-25 07:30:32",5.00,"2025-03-27 09:53:00","2025-03-28 18:08:00",NULL,4,7.26,29.04,DELIVERED
8,35,1215,206,20250528,20250529,20250530,NULL,"2025-05-28 10:02:56",0.00,"2025-05-29 09:11:00","2025-05-30 16:08:08",NULL,2,7.46,14.92,DELIVERED
8,36,40,206,20250528,20250531,20250605,NULL,"2025-05-28 10:02:56",0.00,"2025-05-31 12:29:00","2025-06-05 10:28:00",NULL,3,7.27,21.81,DELIVERED
8,37,134,206,20250528,20250530,20250601,NULL,"2025-05-28 10:02:56",0.00,"2025-05-30 16:48:00","2025-06-01 14:06:00",NULL,2,9.19,18.38,DELIVERED
9,38,3754,172,20240605,NULL,NULL,20240605,"2024-06-05 07:53:12",0.00,NULL,NULL,"2024-06-05 00:00:00",2,3.70,7.40,CANCELED
11,41,2702,22,20230824,20230825,20230830,NULL,"2023-08-24 14:19:14",0.00,"2023-08-25 15:22:00","2023-08-30 15:20:00",NULL,3,8.39,25.17,DELIVERED
11,42,1162,22,20230824,NULL,NULL,20230824,"2023-08-24 14:19:14",0.00,NULL,NULL,"2023-08-24 00:00:00",3,6.51,19.53,CANCELED
11,43,976,22,20230824,20230827,20230829,NULL,"2023-08-24 14:19:14",0.00,"2023-08-27 14:13:00","2023-08-29 10:11:00",NULL,3,3.60,10.80,DELIVERED
12,48,1013,98,20250427,20250429,20250430,NULL,"2025-04-27 14:43:10",0.00,"2025-04-29 14:06:00","2025-04-30 15:05:00",NULL,5,13.30,66.50,DELIVERED
12,49,2714,98,20250427,20250428,20250501,NULL,"2025-04-27 14:43:10",0.00,"2025-04-28 11:40:00","2025-05-01 10:56:00",NULL,4,10.52,42.08,DELIVERED
13,50,562,221,20240617,20240618,20240619,NULL,"2024-06-17 03:27:01",0.00,"2024-06-18 16:52:00","2024-06-19 15:49:00",NULL,4,16.11,64.44,DELIVERED
13,51,537,221,20240617,20240620,20240621,NULL,"2024-06-17 03:27:01",0.00,"2024-06-20 08:42:00","2024-06-21 18:43:18",NULL,5,5.16,25.80,DELIVERED
13,54,4907,221,20240617,20240620,20240624,NULL,"2024-06-17 03:27:01",0.00,"2024-06-20 10:15:00","2024-06-24 14:08:00",NULL,5,7.44,37.20,DELIVERED
14,56,93,61,20231126,NULL,NULL,20231126,"2023-11-26 07:40:54",0.00,NULL,NULL,"2023-11-26 00:00:00",3,5.93,17.79,CANCELED
14,62,4013,61,20231126,20231128,20231202,NULL,"2023-11-26 07:40:54",0.00,"2023-11-28 12:56:00","2023-12-02 13:24:00",NULL,5,10.95,54.75,DELIVERED
14,63,1303,61,20231126,20231129,20231203,NULL,"2023-11-26 07:40:54",0.00,"2023-11-29 15:22:00","2023-12-03 16:24:00",NULL,4,10.88,43.52,DELIVERED
15,64,350,286,20231012,NULL,NULL,20231012,"2023-10-12 10:47:38",5.00,NULL,NULL,"2023-10-12 00:00:00",2,24.02,48.04,CANCELED
15,65,651,286,20231012,20231014,20231015,NULL,"2023-10-12 10:47:38",5.00,"2023-10-14 12:30:00","2023-10-15 10:21:00",NULL,3,8.95,26.85,DELIVERED
16,68,1542,117,20230813,20230816,20230820,NULL,"2023-08-13 08:48:06",0.00,"2023-08-16 16:12:00","2023-08-20 14:58:00",NULL,5,20.24,101.20,DELIVERED
17,70,2894,19,20260124,NULL,NULL,20260125,"2026-01-24 13:15:18",0.00,NULL,NULL,"2026-01-25 00:00:00",1,10.14,10.14,CANCELED
17,71,400,19,20260124,20260126,20260129,NULL,"2026-01-24 13:15:18",0.00,"2026-01-26 09:07:00","2026-01-29 09:29:38",NULL,2,6.29,12.58,DELIVERED
17,72,4661,19,20260124,20260126,20260129,NULL,"2026-01-24 13:15:18",0.00,"2026-01-26 08:54:00","2026-01-29 12:13:00",NULL,3,5.92,17.76,DELIVERED
17,74,1090,19,20260124,20260126,20260128,NULL,"2026-01-24 13:15:18",0.00,"2026-01-26 14:52:00","2026-01-28 13:25:00",NULL,3,2.43,7.29,DELIVERED
17,75,1583,19,20260124,NULL,NULL,20260126,"2026-01-24 13:15:18",0.00,NULL,NULL,"2026-01-26 00:00:00",2,6.54,13.08,CANCELED
18,77,1821,16,20260411,NULL,NULL,20260413,"2026-04-11 06:25:08",5.00,NULL,NULL,"2026-04-13 00:00:00",2,6.93,13.86,CANCELED
18,78,2390,16,20260411,20260414,20260416,NULL,"2026-04-11 06:25:08",5.00,"2026-04-14 12:12:00","2026-04-16 16:52:00",NULL,4,7.49,29.96,DELIVERED
18,79,1715,16,20260411,20260413,20260414,NULL,"2026-04-11 06:25:08",5.00,"2026-04-13 10:40:00","2026-04-14 15:00:00",NULL,1,13.73,13.73,DELIVERED
18,80,1734,16,20260411,20260412,20260416,NULL,"2026-04-11 06:25:08",5.00,"2026-04-12 10:11:00","2026-04-16 10:25:00",NULL,1,20.84,20.84,DELIVERED
18,81,3152,16,20260411,20260413,20260414,NULL,"2026-04-11 06:25:08",5.00,"2026-04-13 13:29:00","2026-04-14 10:53:16",NULL,4,2.08,8.32,DELIVERED
19,83,4187,161,20260101,20260102,20260103,NULL,"2026-01-01 16:48:12",0.00,"2026-01-02 12:33:00","2026-01-03 10:25:05",NULL,2,5.54,11.08,DELIVERED
19,85,4247,161,20260101,20260104,20260108,NULL,"2026-01-01 16:48:12",0.00,"2026-01-04 10:34:00","2026-01-08 09:36:00",NULL,4,10.82,43.28,DELIVERED
19,86,4938,161,20260101,20260102,20260107,NULL,"2026-01-01 16:48:12",0.00,"2026-01-02 16:25:00","2026-01-07 14:25:00",NULL,2,10.11,20.22,DELIVERED
20,88,4399,137,20260205,20260208,20260211,NULL,"2026-02-05 08:41:33",0.00,"2026-02-08 12:58:00","2026-02-11 15:22:00",NULL,1,9.30,9.30,DELIVERED
20,90,4535,137,20260205,20260208,20260209,NULL,"2026-02-05 08:41:33",0.00,"2026-02-08 14:25:00","2026-02-09 10:25:37",NULL,1,12.82,12.82,DELIVERED
20,91,1452,137,20260205,20260207,20260210,NULL,"2026-02-05 08:41:33",0.00,"2026-02-07 10:44:00","2026-02-10 09:14:00",NULL,2,15.97,31.94,DELIVERED
20,92,1255,137,20260205,20260208,20260210,NULL,"2026-02-05 08:41:33",0.00,"2026-02-08 17:50:00","2026-02-10 13:54:00",NULL,4,8.00,32.00,DELIVERED
21,93,1079,194,20231018,20231019,20231021,NULL,"2023-10-18 09:18:23",0.00,"2023-10-19 10:35:00","2023-10-21 11:35:00",NULL,1,3.11,3.11,DELIVERED
21,94,4589,194,20231018,20231020,20231025,NULL,"2023-10-18 09:18:23",0.00,"2023-10-20 09:47:00","2023-10-25 15:41:00",NULL,3,13.25,39.75,DELIVERED
21,95,2194,194,20231018,NULL,NULL,20231020,"2023-10-18 09:18:23",0.00,NULL,NULL,"2023-10-20 00:00:00",3,12.77,38.31,CANCELED
22,99,997,297,20251229,20260101,20260103,NULL,"2025-12-29 10:58:51",0.00,"2026-01-01 12:16:00","2026-01-03 09:35:00",NULL,2,8.15,16.30,DELIVERED
22,100,5146,297,20251229,20251230,20251231,NULL,"2025-12-29 10:58:51",0.00,"2025-12-30 15:48:00","2025-12-31 17:52:00",NULL,3,6.44,19.32,DELIVERED
22,102,4764,297,20251229,20251231,20260104,NULL,"2025-12-29 10:58:51",0.00,"2025-12-31 10:30:00","2026-01-04 16:01:00",NULL,5,12.85,64.25,DELIVERED
22,103,4881,297,20251229,20260101,20260102,NULL,"2025-12-29 10:58:51",0.00,"2026-01-01 08:57:00","2026-01-02 16:51:00",NULL,2,13.41,26.82,DELIVERED
23,105,3143,148,20240804,20240806,20240809,NULL,"2024-08-04 10:22:41",0.00,"2024-08-06 08:09:00","2024-08-09 15:37:00",NULL,1,6.06,6.06,DELIVERED
23,107,1936,148,20240804,20240805,20240806,NULL,"2024-08-04 10:22:41",0.00,"2024-08-05 15:26:00","2024-08-06 18:23:00",NULL,1,8.17,8.17,DELIVERED
24,111,2958,155,20250713,20250715,20250716,NULL,"2025-07-13 14:14:55",10.00,"2025-07-15 15:31:00","2025-07-16 10:57:46",NULL,1,9.34,9.34,DELIVERED
24,112,5238,155,20250713,20250715,20250719,NULL,"2025-07-13 14:14:55",10.00,"2025-07-15 12:46:00","2025-07-19 13:02:00",NULL,4,2.27,9.08,DELIVERED
24,114,4881,155,20250713,20250714,20250719,NULL,"2025-07-13 14:14:55",10.00,"2025-07-14 15:49:00","2025-07-19 16:23:00",NULL,2,11.31,22.62,DELIVERED
25,115,960,67,20250321,20250322,20250324,NULL,"2025-03-21 07:16:00",10.00,"2025-03-22 08:12:00","2025-03-24 18:10:00",NULL,4,5.09,20.36,DELIVERED
25,116,1914,67,20250321,20250323,20250327,NULL,"2025-03-21 07:16:00",10.00,"2025-03-23 17:26:00","2025-03-27 11:45:00",NULL,2,6.55,13.10,DELIVERED
26,118,3714,74,20210922,20210925,20210928,NULL,"2021-09-22 11:10:21",0.00,"2021-09-25 11:42:00","2021-09-28 13:03:00",NULL,5,11.11,55.55,DELIVERED
26,122,3901,74,20210922,20210925,20210929,NULL,"2021-09-22 11:10:21",0.00,"2021-09-25 10:18:00","2021-09-29 17:12:00",NULL,4,3.98,15.92,DELIVERED
26,124,3375,74,20210922,20210925,20210928,NULL,"2021-09-22 11:10:21",0.00,"2021-09-25 16:47:00","2021-09-28 12:34:00",NULL,1,2.18,2.18,DELIVERED
26,125,4806,74,20210922,20210925,20210927,NULL,"2021-09-22 11:10:21",0.00,"2021-09-25 15:48:00","2021-09-27 18:12:00",NULL,4,4.34,17.36,DELIVERED
27,126,1997,155,20260326,20260327,20260330,NULL,"2026-03-26 12:22:11",0.00,"2026-03-27 14:06:00","2026-03-30 14:36:00",NULL,4,8.50,34.00,DELIVERED
27,129,4351,155,20260326,20260327,20260328,NULL,"2026-03-26 12:22:11",0.00,"2026-03-27 15:33:00","2026-03-28 10:22:18",NULL,4,14.01,56.04,DELIVERED
28,131,555,138,20210323,20210324,20210327,NULL,"2021-03-23 08:02:09",0.00,"2021-03-24 08:20:00","2021-03-27 17:30:11",NULL,2,11.45,22.90,DELIVERED
28,133,132,138,20210323,20210326,20210330,NULL,"2021-03-23 08:02:09",0.00,"2021-03-26 12:24:00","2021-03-30 15:45:00",NULL,5,12.78,63.90,DELIVERED
28,136,2710,138,20210323,20210326,20210331,NULL,"2021-03-23 08:02:09",0.00,"2021-03-26 17:38:00","2021-03-31 11:10:00",NULL,1,18.99,18.99,DELIVERED
29,137,1916,15,20240515,NULL,NULL,20240517,"2024-05-15 09:43:15",5.00,NULL,NULL,"2024-05-17 00:00:00",1,6.36,6.36,CANCELED
29,139,2728,15,20240515,20240516,20240518,NULL,"2024-05-15 09:43:15",5.00,"2024-05-16 14:20:00","2024-05-18 15:10:00",NULL,1,10.87,10.87,DELIVERED
29,140,2566,15,20240515,20240518,20240521,NULL,"2024-05-15 09:43:15",5.00,"2024-05-18 17:12:00","2024-05-21 10:21:00",NULL,1,14.26,14.26,DELIVERED
31,146,5013,146,20260402,20260404,20260406,NULL,"2026-04-02 17:31:27",0.00,"2026-04-04 09:49:00","2026-04-06 17:24:00",NULL,2,19.93,39.86,DELIVERED
31,148,1951,146,20260402,20260404,20260407,NULL,"2026-04-02 17:31:27",0.00,"2026-04-04 13:35:00","2026-04-07 11:24:00",NULL,5,8.58,42.90,DELIVERED
31,150,2979,146,20260402,20260403,20260406,NULL,"2026-04-02 17:31:27",0.00,"2026-04-03 08:49:00","2026-04-06 10:03:00",NULL,5,3.19,15.95,DELIVERED
32,152,1094,102,20250212,20250214,20250215,NULL,"2025-02-12 08:39:27",0.00,"2025-02-14 16:08:00","2025-02-15 15:29:28",NULL,2,5.45,10.90,DELIVERED
32,154,2342,102,20250212,20250213,20250215,NULL,"2025-02-12 08:39:27",0.00,"2025-02-13 17:42:00","2025-02-15 15:29:28",NULL,3,6.00,18.00,DELIVERED
33,159,1330,270,20250401,20250404,20250408,NULL,"2025-04-01 19:11:55",0.00,"2025-04-04 11:24:00","2025-04-08 17:05:00",NULL,1,4.75,4.75,DELIVERED
33,160,4549,270,20250401,20250402,20250404,NULL,"2025-04-01 19:11:55",0.00,"2025-04-02 16:05:00","2025-04-04 17:46:00",NULL,4,4.02,16.08,DELIVERED
33,161,1715,270,20250401,20250403,20250405,NULL,"2025-04-01 19:11:55",0.00,"2025-04-03 12:05:00","2025-04-05 18:41:00",NULL,3,14.35,43.05,DELIVERED
33,162,4413,270,20250401,NULL,NULL,20250402,"2025-04-01 19:11:55",0.00,NULL,NULL,"2025-04-02 00:00:00",4,8.53,34.12,CANCELED
34,163,2008,267,20230422,20230425,20230427,NULL,"2023-04-22 15:22:19",0.00,"2023-04-25 09:08:00","2023-04-27 10:30:00",NULL,1,7.60,7.60,DELIVERED
34,167,1843,267,20230422,20230425,20230426,NULL,"2023-04-22 15:22:19",0.00,"2023-04-25 11:57:00","2023-04-26 16:37:00",NULL,2,9.19,18.38,DELIVERED
35,168,1147,106,20241018,20241020,20241025,NULL,"2024-10-18 14:57:18",0.00,"2024-10-20 16:22:00","2024-10-25 12:49:00",NULL,3,2.12,6.36,DELIVERED
35,169,3499,106,20241018,20241020,20241021,NULL,"2024-10-18 14:57:18",0.00,"2024-10-20 17:13:00","2024-10-21 12:54:00",NULL,5,2.98,14.90,DELIVERED
36,172,4227,270,20231126,20231127,20231128,NULL,"2023-11-26 07:57:58",0.00,"2023-11-27 12:13:00","2023-11-28 16:00:00",NULL,3,6.02,18.06,DELIVERED
36,173,3666,270,20231126,20231128,20231202,NULL,"2023-11-26 07:57:58",0.00,"2023-11-28 16:08:00","2023-12-02 10:34:00",NULL,4,30.82,123.28,DELIVERED
36,176,2763,270,20231126,20231129,20231130,NULL,"2023-11-26 07:57:58",0.00,"2023-11-29 17:23:00","2023-11-30 18:42:00",NULL,3,27.54,82.62,DELIVERED
37,178,103,136,20250711,20250714,20250715,NULL,"2025-07-11 08:39:10",0.00,"2025-07-14 13:51:00","2025-07-15 14:09:00",NULL,3,20.91,62.73,DELIVERED
37,180,2062,136,20250711,20250713,20250715,NULL,"2025-07-11 08:39:10",0.00,"2025-07-13 17:46:00","2025-07-15 10:25:00",NULL,4,16.99,67.96,DELIVERED
37,181,3295,136,20250711,20250713,20250714,NULL,"2025-07-11 08:39:10",0.00,"2025-07-13 14:00:00","2025-07-14 09:14:00",NULL,5,8.59,42.95,DELIVERED
37,184,2190,136,20250711,NULL,NULL,20250713,"2025-07-11 08:39:10",0.00,NULL,NULL,"2025-07-13 00:00:00",4,2.23,8.92,CANCELED
38,185,3106,31,20230919,20230922,20230925,NULL,"2023-09-19 08:52:01",0.00,"2023-09-22 11:47:00","2023-09-25 18:17:00",NULL,5,15.63,78.15,DELIVERED
38,186,4893,31,20230919,20230920,20230922,NULL,"2023-09-19 08:52:01",0.00,"2023-09-20 14:25:00","2023-09-22 10:27:00",NULL,4,7.22,28.88,DELIVERED
39,191,1907,173,20260117,20260118,20260120,NULL,"2026-01-17 12:40:44",0.00,"2026-01-18 16:52:00","2026-01-20 17:41:00",NULL,3,5.04,15.12,DELIVERED
39,192,1688,173,20260117,20260118,20260120,NULL,"2026-01-17 12:40:44",0.00,"2026-01-18 16:14:00","2026-01-20 15:20:00",NULL,1,16.89,16.89,DELIVERED
40,194,4049,204,20251113,20251116,20251120,NULL,"2025-11-13 09:25:00",0.00,"2025-11-16 15:22:00","2025-11-20 16:47:00",NULL,4,7.64,30.56,DELIVERED
40,196,2809,204,20251113,20251115,20251117,NULL,"2025-11-13 09:25:00",0.00,"2025-11-15 08:45:00","2025-11-17 15:04:00",NULL,5,20.89,104.45,DELIVERED
40,197,4753,204,20251113,20251114,20251118,NULL,"2025-11-13 09:25:00",0.00,"2025-11-14 11:43:00","2025-11-18 13:05:00",NULL,5,14.52,72.60,DELIVERED
41,200,319,196,20260408,20260409,20260413,NULL,"2026-04-08 00:31:32",0.00,"2026-04-09 17:03:00","2026-04-13 13:11:00",NULL,1,10.33,10.33,DELIVERED
41,201,3550,196,20260408,20260409,20260411,NULL,"2026-04-08 00:31:32",0.00,"2026-04-09 13:05:00","2026-04-11 13:38:01",NULL,4,7.53,30.12,DELIVERED
41,202,19,196,20260408,20260409,20260411,NULL,"2026-04-08 00:31:32",0.00,"2026-04-09 16:07:00","2026-04-11 13:38:01",NULL,3,18.35,55.05,DELIVERED
41,203,2169,196,20260408,20260410,20260411,NULL,"2026-04-08 00:31:32",0.00,"2026-04-10 08:37:00","2026-04-11 13:38:01",NULL,3,5.88,17.64,DELIVERED
41,204,255,196,20260408,20260410,20260411,NULL,"2026-04-08 00:31:32",0.00,"2026-04-10 09:46:00","2026-04-11 13:08:00",NULL,3,2.42,7.26,DELIVERED
41,205,2889,196,20260408,20260409,20260411,NULL,"2026-04-08 00:31:32",0.00,"2026-04-09 10:39:00","2026-04-11 13:38:01",NULL,1,6.62,6.62,DELIVERED
42,207,3173,77,20241124,20241125,20241129,NULL,"2024-11-24 18:03:40",0.00,"2024-11-25 12:32:00","2024-11-29 13:42:00",NULL,4,5.71,22.84,DELIVERED
42,209,2273,77,20241124,20241125,20241130,NULL,"2024-11-24 18:03:40",0.00,"2024-11-25 09:43:00","2024-11-30 10:28:00",NULL,1,8.41,8.41,DELIVERED
42,210,2230,77,20241124,20241125,20241129,NULL,"2024-11-24 18:03:40",0.00,"2024-11-25 17:23:00","2024-11-29 09:06:00",NULL,2,7.76,15.52,DELIVERED
42,213,3813,77,20241124,20241125,20241130,NULL,"2024-11-24 18:03:40",0.00,"2024-11-25 08:33:00","2024-11-30 15:33:00",NULL,4,9.52,38.08,DELIVERED
43,216,5097,293,20251111,20251112,20251115,NULL,"2025-11-11 18:56:02",0.00,"2025-11-12 16:17:00","2025-11-15 09:09:00",NULL,1,8.72,8.72,DELIVERED
43,217,453,293,20251111,20251114,20251115,NULL,"2025-11-11 18:56:02",0.00,"2025-11-14 15:25:00","2025-11-15 17:44:00",NULL,1,5.93,5.93,DELIVERED
44,220,2441,27,20251123,20251124,20251126,NULL,"2025-11-23 16:09:52",10.00,"2025-11-24 08:00:00","2025-11-26 17:18:00",NULL,3,8.34,25.02,DELIVERED
44,221,4714,27,20251123,20251125,20251126,NULL,"2025-11-23 16:09:52",10.00,"2025-11-25 17:52:00","2025-11-26 09:31:50",NULL,1,8.68,8.68,DELIVERED
45,222,3694,118,20210215,20210218,20210222,NULL,"2021-02-15 08:40:04",0.00,"2021-02-18 08:04:00","2021-02-22 10:40:00",NULL,1,17.50,17.50,DELIVERED
45,223,271,118,20210215,20210216,20210218,NULL,"2021-02-15 08:40:04",0.00,"2021-02-16 16:01:00","2021-02-18 18:59:36",NULL,3,5.45,16.35,DELIVERED
45,224,4844,118,20210215,20210217,20210218,NULL,"2021-02-15 08:40:04",0.00,"2021-02-17 15:35:00","2021-02-18 18:59:36",NULL,1,10.56,10.56,DELIVERED
45,226,819,118,20210215,20210218,20210223,NULL,"2021-02-15 08:40:04",0.00,"2021-02-18 17:14:00","2021-02-23 13:44:00",NULL,1,7.87,7.87,DELIVERED
45,228,4789,118,20210215,20210217,20210218,NULL,"2021-02-15 08:40:04",0.00,"2021-02-17 14:20:00","2021-02-18 16:44:00",NULL,4,9.05,36.20,DELIVERED
45,229,2247,118,20210215,20210217,20210218,NULL,"2021-02-15 08:40:04",0.00,"2021-02-17 12:09:00","2021-02-18 18:59:36",NULL,4,8.80,35.20,DELIVERED
46,230,1539,260,20211104,NULL,NULL,20211104,"2021-11-04 16:18:27",0.00,NULL,NULL,"2021-11-04 00:00:00",2,7.60,15.20,CANCELED
46,233,4010,260,20211104,20211107,20211108,NULL,"2021-11-04 16:18:27",0.00,"2021-11-07 13:46:00","2021-11-08 11:02:00",NULL,5,22.88,114.40,DELIVERED
46,235,4377,260,20211104,20211106,20211110,NULL,"2021-11-04 16:18:27",0.00,"2021-11-06 09:57:00","2021-11-10 12:46:00",NULL,5,2.16,10.80,DELIVERED
46,236,1451,260,20211104,20211107,20211111,NULL,"2021-11-04 16:18:27",0.00,"2021-11-07 16:05:00","2021-11-11 17:49:00",NULL,2,10.15,20.30,DELIVERED
47,237,1024,275,20211112,NULL,NULL,20211112,"2021-11-12 13:38:11",0.00,NULL,NULL,"2021-11-12 00:00:00",2,5.29,10.58,CANCELED
47,238,1186,275,20211112,20211113,20211118,NULL,"2021-11-12 13:38:11",0.00,"2021-11-13 13:00:00","2021-11-18 13:13:00",NULL,1,5.33,5.33,DELIVERED
48,242,196,17,20250107,20250108,20250113,NULL,"2025-01-07 16:15:16",0.00,"2025-01-08 08:52:00","2025-01-13 12:02:00",NULL,3,25.08,75.24,DELIVERED
48,244,350,17,20250107,20250108,20250109,NULL,"2025-01-07 16:15:16",0.00,"2025-01-08 15:07:00","2025-01-09 11:55:00",NULL,2,23.60,47.20,DELIVERED
48,246,554,17,20250107,20250109,20250110,NULL,"2025-01-07 16:15:16",0.00,"2025-01-09 13:15:00","2025-01-10 14:59:00",NULL,4,5.73,22.92,DELIVERED
48,247,4840,17,20250107,20250109,20250110,NULL,"2025-01-07 16:15:16",0.00,"2025-01-09 10:21:00","2025-01-10 09:01:00",NULL,3,8.07,24.21,DELIVERED
48,248,3889,17,20250107,20250108,20250109,NULL,"2025-01-07 16:15:16",0.00,"2025-01-08 08:19:00","2025-01-09 13:22:26",NULL,1,13.68,13.68,DELIVERED
49,249,3740,138,20200420,20200422,20200427,NULL,"2020-04-20 19:00:13",0.00,"2020-04-22 10:37:00","2020-04-27 13:22:00",NULL,2,5.44,10.88,DELIVERED
49,250,737,138,20200420,20200423,20200424,NULL,"2020-04-20 19:00:13",0.00,"2020-04-23 13:33:00","2020-04-24 10:04:00",NULL,1,3.48,3.48,DELIVERED
49,253,1889,138,20200420,20200421,20200424,NULL,"2020-04-20 19:00:13",0.00,"2020-04-21 13:34:00","2020-04-24 10:04:00",NULL,1,6.90,6.90,DELIVERED
50,255,1599,57,20251004,20251007,20251008,NULL,"2025-10-04 10:37:07",0.00,"2025-10-07 13:21:00","2025-10-08 15:10:06",NULL,1,5.60,5.60,DELIVERED
51,263,2450,290,20220318,20220321,20220326,NULL,"2022-03-18 07:12:25",0.00,"2022-03-21 14:47:00","2022-03-26 18:20:00",NULL,5,7.81,39.05,DELIVERED
53,269,3979,149,20260326,NULL,NULL,20260328,"2026-03-26 07:48:07",0.00,NULL,NULL,"2026-03-28 00:00:00",2,3.27,6.54,CANCELED
53,271,2678,149,20260326,20260329,20260401,NULL,"2026-03-26 07:48:07",0.00,"2026-03-29 16:12:00","2026-04-01 13:48:00",NULL,2,6.40,12.80,DELIVERED
54,273,1194,170,20250514,20250516,20250517,NULL,"2025-05-14 14:33:34",0.00,"2025-05-16 09:15:00","2025-05-17 16:56:00",NULL,2,6.50,13.00,DELIVERED
54,274,5078,170,20250514,20250517,20250522,NULL,"2025-05-14 14:33:34",0.00,"2025-05-17 12:33:00","2025-05-22 12:15:00",NULL,5,2.71,13.55,DELIVERED
54,275,4085,170,20250514,20250517,20250520,NULL,"2025-05-14 14:33:34",0.00,"2025-05-17 09:48:00","2025-05-20 15:58:00",NULL,3,5.10,15.30,DELIVERED
54,276,159,170,20250514,20250517,20250519,NULL,"2025-05-14 14:33:34",0.00,"2025-05-17 16:24:00","2025-05-19 13:50:00",NULL,3,20.32,60.96,DELIVERED
54,278,71,170,20250514,20250516,20250518,NULL,"2025-05-14 14:33:34",0.00,"2025-05-16 15:32:00","2025-05-18 16:19:37",NULL,3,13.65,40.95,DELIVERED
55,280,5123,231,20240816,20240818,20240820,NULL,"2024-08-16 12:27:41",0.00,"2024-08-18 13:06:00","2024-08-20 17:04:00",NULL,5,8.91,44.55,DELIVERED
55,282,1052,231,20240816,20240817,20240818,NULL,"2024-08-16 12:27:41",0.00,"2024-08-17 16:13:00","2024-08-18 12:20:00",NULL,5,26.71,133.55,DELIVERED
56,283,846,126,20220504,20220506,20220508,NULL,"2022-05-04 13:27:14",0.00,"2022-05-06 14:28:00","2022-05-08 11:03:00",NULL,2,12.67,25.34,DELIVERED
56,284,1168,126,20220504,20220505,20220508,NULL,"2022-05-04 13:27:14",0.00,"2022-05-05 12:58:00","2022-05-08 14:01:00",NULL,5,18.76,93.80,DELIVERED
57,286,3952,166,20240707,20240708,20240709,NULL,"2024-07-07 07:29:25",0.00,"2024-07-08 08:39:00","2024-07-09 11:04:00",NULL,4,8.10,32.40,DELIVERED
57,287,3070,166,20240707,20240710,20240711,NULL,"2024-07-07 07:29:25",0.00,"2024-07-10 14:17:00","2024-07-11 12:59:00",NULL,5,11.94,59.70,DELIVERED
