product_key,product_id,product_sku,product_name,product_type,brand_name,subcategory_id,category,subcategory,unit_size,price,stock_quantity,is_active,date_created,date_inactive
13,1515,17IF6FL6LFQ5,"Freshora Toilet Paper","Toilet Paper",Freshora,20,"Household Goods and Cleaning Products","Paper Products","4 roll",5.88,199,1,2018-12-05,NULL
14,790,1C6QT5KYD38L,"Lunafresh Brown Rice","Brown Rice",Lunafresh,7,"Food and Beverages",Pantry,"1 lb",7.45,117,1,2018-12-05,NULL
15,3188,261ZOC12Y3BP,"GoldenVale Health Heat Therapy Patches","Heat Therapy Patches","GoldenVale Health",28,"Health and Wellness Products","Pain Relief","6 ct",18.84,96,1,2018-12-05,NULL
16,1605,QT9XSVL2NGI0,"NaturaPress Skim Milk","Skim Milk",NaturaPress,1,"Food and Beverages",Dairy,"32 oz",8.65,197,1,2018-12-05,NULL
17,4834,L5QAY1CBR2A3,"Lunafresh Cough Syrup","Cough Syrup",Lunafresh,27,"Health and Wellness Products","Cold and Flu","4 oz",3.36,118,1,2018-12-06,NULL
18,1972,M6DU4O6S60JX,"EverBloom Foods Coconut Oil","Coconut Oil","EverBloom Foods",7,"Food and Beverages",Pantry,"1 gal",8.22,299,1,2018-12-06,NULL
19,6530,5CRILUU4QDCC,"ClearBreathe Cough Syrup","Cough Syrup",ClearBreathe,27,"Health and Wellness Products","Cold and Flu","4 oz",18.89,296,1,2018-12-07,NULL
20,404,5VBTCAJCB5BR,"Lunafresh Fins Flake Fish Food","Flake Fish Food","Lunafresh Fins",33,"Pet Care Products",Fish,"1 oz",33.87,63,1,2018-12-07,NULL
21,9370,WLB7FGJ83AAO,"EverBloom Foods Soy Sauce","Soy Sauce","EverBloom Foods",7,"Food and Beverages",Pantry,"10 oz",5.74,87,1,2018-12-07,NULL
22,3249,095U2R114PBJ,"Freshora Party Cups","Party Cups",Freshora,23,"Household Goods and Cleaning Products","Disposable Tableware","40 ct",17.74,27,1,2018-12-08,NULL
23,6795,4628EASR0NUS,"GoldenVale Farms Buttermilk",Buttermilk,"GoldenVale Farms",1,"Food and Beverages",Dairy,"1/2 gal",7.08,296,1,2018-12-08,NULL
24,451,64W4P8OAUDDK,"BrightNest Fabric Refresher","Fabric Refresher",BrightNest,19,"Household Goods and Cleaning Products",Laundry,"16 oz",15.03,63,1,2018-12-08,NULL
25,4639,6JMEPJQHRR39,"Crescent Brew Cherry Soda","Cherry Soda","Crescent Brew",8,"Food and Beverages",Soda,"16 oz",8.67,89,1,2018-12-08,NULL
26,1070,8NXF158PB5OK,"PureLuxe Home Automatic Spray Refill","Automatic Spray Refill","PureLuxe Home",24,"Household Goods and Cleaning Products","Air Fresheners","4 ct",8.41,33,1,2018-12-08,NULL
27,7601,PKGSKVNZBE9W,"GoldenVale White Tea","White Tea",GoldenVale,11,"Food and Beverages",Tea,"20 ct",8.46,168,1,2018-12-08,NULL
28,6700,SVIDQ1DMWO3J,"BrightBerry Cucumbers",Cucumbers,BrightBerry,4,"Food and Beverages",Produce,"1 ct",2.45,262,1,2018-12-08,NULL
29,7945,ZUSDP6WPJHQQ,"Aurora Fields Crispy Rice Cereal","Crispy Rice Cereal","Aurora Fields",6,"Food and Beverages","Breakfast and Cereal","12 oz",3.45,202,1,2018-12-08,NULL
30,6134,394BXG1KQ63H,"ClearVale Mineral Water","Mineral Water",ClearVale,12,"Food and Beverages",Water,"1 L",4.90,82,1,2018-12-09,NULL
31,9027,4H1F17KU59Q1,"SunVale Farms Asparagus",Asparagus,"SunVale Farms",4,"Food and Beverages",Produce,"2 lb",1.78,76,1,2018-12-09,NULL
32,549,5NRRF4D1PHTG,"Auralis Smile Whitening Pen","Whitening Pen","Auralis Smile",16,"Personal Care and Beauty","Oral Care","0.2 oz",9.57,265,1,2018-12-09,NULL
33,4299,69YY88QXV6Z5,"SunVale Meats Salmon Fillets","Salmon Fillets","SunVale Meats",5,"Food and Beverages",Meat,"8 oz",6.78,159,1,2018-12-09,NULL
34,643,CL85LYEU8YQ4,"Tmart Large Trash Bags","Large Trash Bags",Tmart,21,"Household Goods and Cleaning Products","Trash Bags","20 ct",6.21,108,1,2018-12-09,NULL
35,2238,D78SXX5EKL9U,"BrightBerry Apples",Apples,BrightBerry,4,"Food and Beverages",Produce,"1 lb",9.71,205,1,2018-12-09,NULL
36,8194,DN5QV2T9G1V2,"EverSip Raspberry Soda","Raspberry Soda",EverSip,8,"Food and Beverages",Soda,"16 oz",3.55,27,1,2018-12-09,NULL
37,6485,TG6AY4TLD6BN,"PureHarvest Sour Cream","Sour Cream",PureHarvest,1,"Food and Beverages",Dairy,"16 oz",8.29,156,1,2018-12-09,NULL
38,5082,UH2UKMR7890W,"Tmart Pineapple Juice","Pineapple Juice",Tmart,9,"Food and Beverages",Juice,"12 oz",9.85,255,1,2018-12-09,NULL
39,4980,ZIGAOTXZG5NN,"PureNourish Organic Baby Cereal","Organic Baby Cereal",PureNourish,34,"Baby and Childcare","Food and Formula","16 oz",25.66,250,1,2018-12-09,NULL
40,5920,ERTA6SU3QEJN,"PureHarvest Skim Milk","Skim Milk",PureHarvest,1,"Food and Beverages",Dairy,"64 oz",7.27,125,1,2018-12-11,NULL
41,3746,OJKWOR3IAGM9,"Lunafresh Car Vent Clip","Car Vent Clip",Lunafresh,24,"Household Goods and Cleaning Products","Air Fresheners","4 ct",15.07,280,1,2018-12-11,NULL
42,7642,P0GOT83QTMYS,"EverBloom Foods Sourdough Bread","Sourdough Bread","EverBloom Foods",2,"Food and Beverages","Baked Goods","16 oz",3.33,107,1,2018-12-11,NULL
43,1301,UU0YRJDWREWW,"GoldenVale Infant Swim Diapers","Swim Diapers","GoldenVale Infant",36,"Baby and Childcare","Diapers and Wipes","20 ct",12.51,38,1,2018-12-11,NULL
44,8582,5RYULAFB6XHO,"Veloro Coffee Co. Cold Brew Concentrate","Cold Brew Concentrate","Veloro Coffee Co.",10,"Food and Beverages",Coffee,"32 oz",5.83,202,1,2018-12-12,NULL
45,5436,OV3WWVVYPG87,"GoldenVale Chocolate Chip Cookies","Chocolate Chip Cookies",GoldenVale,3,"Food and Beverages",Snacks,"8 oz",5.48,71,1,2018-12-12,NULL
46,9173,W0L02KFGMSCE,"VitaVerde Raspberries",Raspberries,VitaVerde,4,"Food and Beverages",Produce,"12 oz",3.82,260,1,2018-12-12,NULL
47,5079,9ZGPVDR9H56P,"Auralift Baby Teethers",Teethers,"Auralift Baby",38,"Baby and Childcare",Toys,"1 ct",22.48,161,1,2018-12-13,NULL
48,8613,IE39K1X8B6J5,"EverBloom Foods Kettle Chips","Kettle Chips","EverBloom Foods",3,"Food and Beverages",Snacks,"6 oz",9.39,92,1,2018-12-13,NULL
49,1982,N5NU8P3JC5E2,"NaturaPress Cough Syrup","Cough Syrup",NaturaPress,27,"Health and Wellness Products","Cold and Flu","4 oz",11.42,128,1,2018-12-13,NULL
50,167,T0YF6HCCP8WH,"HaleBright Tooth Powder","Tooth Powder",HaleBright,16,"Personal Care and Beauty","Oral Care","2 oz",14.97,208,1,2018-12-13,NULL
51,3498,FIDFDCIG0EPO,"Auralift Baby Finger Foods","Finger Foods","Auralift Baby",34,"Baby and Childcare","Food and Formula","1.5 oz 6 ct",21.64,105,1,2018-12-14,NULL
52,5817,NZ73C1WT1O57,"EverPearl Toothbrush",Toothbrush,EverPearl,16,"Personal Care and Beauty","Oral Care","1 ct",13.66,148,1,2018-12-14,NULL
53,4297,OQIT8T20CCBX,"NaturaPress Immune Support Powder","Immune Support Powder",NaturaPress,27,"Health and Wellness Products","Cold and Flu","10 ct",13.51,150,1,2018-12-14,NULL
54,7443,T3V7F0RKX2J6,"GoldenVale Lentils",Lentils,GoldenVale,7,"Food and Beverages",Pantry,"1 lb",7.23,206,1,2018-12-14,NULL
55,3704,11MM43Y1GEMY,"Tmart Fabric Softener","Fabric Softener",Tmart,19,"Household Goods and Cleaning Products",Laundry,"32 oz",9.68,248,1,2018-12-15,NULL
56,5267,IRSVCLDVCMUQ,"Freshora Paper Cups","Paper Cups",Freshora,20,"Household Goods and Cleaning Products","Paper Products","50 ct",4.65,85,1,2018-12-15,NULL
57,7019,QTM8FPC6YS5M,"Citrabella Pomegranate Juice","Pomegranate Juice",Citrabella,9,"Food and Beverages",Juice,"32 oz",6.03,31,1,2018-12-15,NULL
58,2469,1KHOPHTQ10SU,"Scentelle Travel Size Deodorant","Travel Size Deodorant",Scentelle,17,"Personal Care and Beauty",Deodorant,"2 oz",14.26,116,1,2018-12-16,NULL
59,9014,JV1RJYTX1DAR,"GoldenVale Farms Italian Sausage","Italian Sausage","GoldenVale Farms",5,"Food and Beverages",Meat,"32 oz",5.77,253,1,2018-12-16,NULL
60,6040,5JXN7EENN9S3,"Lunafresh Cough Drops","Cough Drops",Lunafresh,27,"Health and Wellness Products","Cold and Flu","40 ct",15.91,208,1,2018-12-17,NULL
61,253,BU4SMHD81I04,"SunVale Home Scented Trash Bags","Scented Trash Bags","SunVale Home",21,"Household Goods and Cleaning Products","Trash Bags","40 ct",8.11,54,1,2018-12-17,NULL
62,5418,E450RXTH068F,"Crescent Grove Laundry Detergent","Laundry Detergent","Crescent Grove",19,"Household Goods and Cleaning Products",Laundry,"128 oz",5.27,104,1,2018-12-17,NULL
63,2137,IPT3A7A6FXG2,"Auralift Wellness Allergy Eye Drops","Allergy Eye Drops","Auralift Wellness",26,"Health and Wellness Products","Allergy and Sinus","0.5 oz",6.21,157,1,2018-12-17,NULL
64,7060,J93B44YXK99A,"EverBloom Foods Avocado Oil","Avocado Oil","EverBloom Foods",7,"Food and Beverages",Pantry,"48 oz",7.68,197,1,2018-12-17,NULL
65,3945,SDR2IHTC1AWG,"CatBloom Wet Cat Food","Wet Cat Food",CatBloom,31,"Pet Care Products",Cats,"3 oz",9.70,255,1,2018-12-17,NULL
66,5951,FXVQC47F5YBM,"PureHarvest Carrot Juice","Carrot Juice",PureHarvest,9,"Food and Beverages",Juice,"12 oz",4.60,209,1,2018-12-18,NULL
67,9101,NYDNYH0ZW9PH,"Aurora Fields Pork Tenderloin","Pork Tenderloin","Aurora Fields",5,"Food and Beverages",Meat,"2 lb",4.01,250,1,2018-12-19,NULL
68,3696,1WVO1B2HN3TV,"NaturaPress Outdoor Contractor Bags","Outdoor Contractor Bags",NaturaPress,21,"Household Goods and Cleaning Products","Trash Bags","10 ct",10.84,118,1,2018-12-20,NULL
69,4433,6Q9X5925NRHA,"Freshora All Purpose Cleaner","All Purpose Cleaner",Freshora,18,"Household Goods and Cleaning Products","Cleaning Supplies","56 oz",9.22,285,1,2018-12-20,NULL
70,7605,EVA82VMV5D7O,"Tmart Iced Tea Mix","Iced Tea Mix",Tmart,11,"Food and Beverages",Tea,"6 ct",3.27,38,1,2018-12-20,NULL
71,7179,HWKXZOQ6DXEM,"SunVale Naturals Multivitamin",Multivitamin,"SunVale Naturals",25,"Health and Wellness Products","Vitamins and Supplements","60 ct",13.76,236,1,2018-12-20,NULL
72,5086,OMGNW11Z89FI,"ClearBreathe Arthritis Relief Tablets","Arthritis Relief Tablets",ClearBreathe,28,"Health and Wellness Products","Pain Relief","24 ct",12.26,185,1,2018-12-20,NULL
73,4034,YFGGXUQQZV2J,"Lunafresh Baby Baby Yogurt","Baby Yogurt","Lunafresh Baby",34,"Baby and Childcare","Food and Formula","3.5 oz 4 ct",29.38,36,1,2018-12-21,NULL
74,6251,2MAV3PO32P3E,"NaturaPress Canola Oil","Canola Oil",NaturaPress,7,"Food and Beverages",Pantry,"48 oz",5.29,215,1,2018-12-22,NULL
75,1089,B2MTYD7B856P,"ClearVale Sparkling Water","Sparkling Water",ClearVale,12,"Food and Beverages",Water,"12 ct",9.44,293,1,2018-12-22,NULL
76,9313,HA40T5P1TBIS,"VitaVerde Oat Milk","Oat Milk",VitaVerde,1,"Food and Beverages",Dairy,"64 oz",5.82,64,1,2018-12-22,NULL
77,4789,SHIU7UFQ82UN,"NaturaPress Tots Baby Wash","Baby Wash","NaturaPress Tots",39,"Baby and Childcare","Bathing and Skin Care","8 oz",18.88,240,1,2018-12-23,NULL
78,4590,1GZE7XXFGP2P,"Lunafresh Celery",Celery,Lunafresh,4,"Food and Beverages",Produce,"1 ct",4.95,176,1,2018-12-24,NULL
79,5023,JSAZS3OMFQ4C,"BrightNest Vitamin C","Vitamin C",BrightNest,25,"Health and Wellness Products","Vitamins and Supplements","120 ct",17.07,230,1,2018-12-24,NULL
80,763,V2AK9MRD7ARJ,"SunVale Beverages Cream Soda","Cream Soda","SunVale Beverages",8,"Food and Beverages",Soda,"16 oz",3.97,157,1,2018-12-24,NULL
81,8749,VYH5W1G1MK88,"PureLuxe Home Fabric Refresher","Fabric Refresher","PureLuxe Home",19,"Household Goods and Cleaning Products",Laundry,"32 oz",18.03,20,1,2018-12-24,NULL
82,7705,N8EAYAOFLA4P,"BrightBerry Sour Cream","Sour Cream",BrightBerry,1,"Food and Beverages",Dairy,"8 oz",4.29,45,1,2018-12-25,NULL
83,1375,PNI82HIR3AU6,"LittleBloom Toddler Apple Juice","Toddler Apple Juice",LittleBloom,35,"Baby and Childcare",Beverages,"32 oz",29.54,257,1,2018-12-25,NULL
84,1196,C5N6EF2XAL3G,"Auralis Roasters Coffee Capsules","Coffee Capsules","Auralis Roasters",10,"Food and Beverages",Coffee,"20 ct",6.94,143,1,2018-12-26,NULL
85,5954,O5P4QPCQ36UX,"LustraDrop Distilled Water","Distilled Water",LustraDrop,12,"Food and Beverages",Water,"5 L",5.94,299,1,2018-12-26,NULL
86,5753,X99V3GBO2LH5,"EverWell Pets Litter Box Filler","Litter Box Filler","EverWell Pets",31,"Pet Care Products",Cats,"40 lb",19.97,75,1,2018-12-26,NULL
87,7692,NX3YZG66WJJQ,"VitaVerde Infant Baby Shampoo","Baby Shampoo","VitaVerde Infant",39,"Baby and Childcare","Bathing and Skin Care","15 oz",19.92,23,1,2018-12-27,NULL
88,4369,YSXQ3RBOUH3O,"GoldenVale Aqua Fish Net","Fish Net","GoldenVale Aqua",33,"Pet Care Products",Fish,"4 in",29.11,166,1,2018-12-27,NULL
89,3265,8MFBPI02QOIE,"Zenvana Botanics Leave-In Conditioner","Leave-In Conditioner","Zenvana Botanics",13,"Personal Care and Beauty","Hair Care","8 oz",8.86,112,1,2018-12-28,NULL
90,7225,KWLV0Z7KYJDS,"Lunafresh Dogs Dental Chews","Dental Chews","Lunafresh Dogs",30,"Pet Care Products",Dogs,"12 ct",13.58,130,1,2018-12-28,NULL
91,2556,NRM0A7ZAWY7N,"Auralift Plastic Utensils","Plastic Utensils",Auralift,23,"Household Goods and Cleaning Products","Disposable Tableware","24 ct",15.55,122,1,2018-12-28,NULL
92,9245,OAGED6SLXHHB,"PureHaven Teas Black Tea","Black Tea","PureHaven Teas",11,"Food and Beverages",Tea,"40 ct",6.91,121,1,2018-12-29,NULL
93,7341,YWD6LQ1PUIYZ,"Velique Organics Face Moisturizers","Face Moisturizers","Velique Organics",15,"Personal Care and Beauty","Skin Care","16 oz",6.12,70,1,2018-12-29,NULL
94,7111,3GWI9B3TC6VB,"GoldenVale Citrus Gel Cone Air Freshener","Citrus Gel Cone Air Freshener",GoldenVale,24,"Household Goods and Cleaning Products","Air Fresheners","12 oz",10.49,189,1,2018-12-30,NULL
95,7151,FOWNDPTXV9OS,"GoldenDrop Mango Juice","Mango Juice",GoldenDrop,9,"Food and Beverages",Juice,"32 oz",3.63,79,1,2018-12-30,NULL
96,7622,K2W72ZOE701A,"NaturaGlow Styling Gel","Styling Gel",NaturaGlow,13,"Personal Care and Beauty","Hair Care","12 oz",12.13,203,1,2018-12-30,NULL
97,9654,NOUNUY65QH1D,"NaturaPress Rice Cakes","Rice Cakes",NaturaPress,3,"Food and Beverages",Snacks,"14 ct",7.23,180,1,2018-12-30,NULL
98,5019,JQCL9262YHUG,"PureLuxe Home Stain Remover Spray","Stain Remover Spray","PureLuxe Home",19,"Household Goods and Cleaning Products",Laundry,"32 oz",9.49,45,1,2018-12-31,NULL
99,329,LP4A93KEWAGK,"NaturaPress Paws Wet Dog Food","Wet Dog Food","NaturaPress Paws",30,"Pet Care Products",Dogs,"13 oz",13.16,162,1,2018-12-31,NULL
100,4092,VGX2ZQTBF824,"GoldenVale Infant Newborn Bottles","Newborn Bottles","GoldenVale Infant",37,"Baby and Childcare","Bottles and Cups","5 oz",24.34,280,1,2018-12-31,NULL
101,618,VGYQXBDMLTUM,"EverSip Grape Juice","Grape Juice",EverSip,9,"Food and Beverages",Juice,"32 oz",9.90,268,1,2018-12-31,NULL
102,9690,AK2CRP048XNX,"VitaVerde Pasta Sauce","Pasta Sauce",VitaVerde,7,"Food and Beverages",Pantry,"16 oz",6.54,38,1,2019-01-01,NULL
103,496,AXEZYREZ44A6,"VitaVerde Vitamin C","Vitamin C",VitaVerde,25,"Health and Wellness Products","Vitamins and Supplements","60 ct",19.65,133,1,2019-01-01,NULL
104,4633,FHALPFAP3G85,"PureMist Botanica Shampoo",Shampoo,"PureMist Botanica",13,"Personal Care and Beauty","Hair Care","24 oz",12.92,186,1,2019-01-01,NULL
105,3997,OC6F9O3JWA1M,"EverBloom Foods Chocolate Chip Cookies","Chocolate Chip Cookies","EverBloom Foods",3,"Food and Beverages",Snacks,"16 oz",1.71,60,1,2019-01-01,NULL
106,7475,BPIB3Z5FXRDL,"SilkenSteep Iced Tea Mix","Iced Tea Mix",SilkenSteep,11,"Food and Beverages",Tea,"6 ct",3.89,121,1,2019-01-02,NULL
107,4870,G978GZLKR46I,"PureLuxe Home Paper Cups","Paper Cups","PureLuxe Home",20,"Household Goods and Cleaning Products","Paper Products","25 ct",5.23,94,1,2019-01-02,NULL
108,3905,JQAXVG418NS2,"Crescent Grove Aluminum Foil","Aluminum Foil","Crescent Grove",22,"Household Goods and Cleaning Products","Food Storages and Wraps","150 ft",4.43,176,1,2019-01-02,NULL
109,6971,RZ2FF3JWTCUU,"Auralift Snack Bags","Snack Bags",Auralift,22,"Household Goods and Cleaning Products","Food Storages and Wraps","50 ct",18.45,275,1,2019-01-02,NULL
110,7348,VGTC3IYXZWVS,"VitaVerde Cranberry Juice","Cranberry Juice",VitaVerde,9,"Food and Beverages",Juice,"32 oz",9.84,258,1,2019-01-02,NULL
111,8539,ZVT6CT0DTL8O,"NaturaPress Unsalted Butter","Unsalted Butter",NaturaPress,1,"Food and Beverages",Dairy,"8 oz",3.40,134,1,2019-01-02,NULL
112,4815,EFBVOTMPB7XF,"EverClean Small Trash Bags","Small Trash Bags",EverClean,21,"Household Goods and Cleaning Products","Trash Bags","40 ct",8.03,264,1,2019-01-03,NULL
113,2518,7V80WHNJL3O6,"Tmart Black Tea","Black Tea",Tmart,11,"Food and Beverages",Tea,"20 ct",8.99,202,1,2019-01-04,NULL
114,8970,DWILPJJ42EYW,"EverBloom Foods Sirloin Steak","Sirloin Steak","EverBloom Foods",5,"Food and Beverages",Meat,"2 lb",6.28,209,1,2019-01-04,NULL
115,3942,HFZUE3OYIBZN,"BrightNest Baby Toddler Apple Juice","Toddler Apple Juice","BrightNest Baby",35,"Baby and Childcare",Beverages,"64 oz",27.34,50,1,2019-01-04,NULL
116,2472,25W5XEPOECZE,"BrightNest Aviary Bird Seed Mix","Bird Seed Mix","BrightNest Aviary",32,"Pet Care Products",Birds,"2 lb",16.40,213,1,2019-01-05,NULL
117,9252,1R3EWLL9PW6V,"EverBloom Foods Cornish Hen","Cornish Hen","EverBloom Foods",5,"Food and Beverages",Meat,"40 oz",8.88,242,1,2019-01-06,NULL
118,5366,6SARTJ0N7SNO,"Crescent Grove Cornish Hen","Cornish Hen","Crescent Grove",5,"Food and Beverages",Meat,"20 oz",3.78,41,1,2019-01-06,NULL
119,4435,8KXWAHDE6TQ8,"BrightNest Baby Glass Baby Bottles","Glass Baby Bottles","BrightNest Baby",37,"Baby and Childcare","Bottles and Cups","8 oz",22.92,171,1,2019-01-06,NULL
120,2529,I0K9V1C1BZYY,"VitaVerde Fish Aquarium Heater","Aquarium Heater","VitaVerde Fish",33,"Pet Care Products",Fish,25W,14.94,45,1,2019-01-06,NULL
121,7417,KH7RNSBP4NG2,"NaturaPress Beef Roast","Beef Roast",NaturaPress,5,"Food and Beverages",Meat,"3 lb",6.65,38,1,2019-01-06,NULL
122,9840,Y3LANCCCGKYD,"NaturaPress Pork Ribs","Pork Ribs",NaturaPress,5,"Food and Beverages",Meat,"2 lb",4.40,255,1,2019-01-06,NULL
123,4301,AIDSJ4EPU0MK,"GoldenVale Infant Size 1 Diapers","Size 1 Diapers","GoldenVale Infant",36,"Baby and Childcare","Diapers and Wipes","100 ct",14.67,176,1,2019-01-07,NULL
124,4240,0VGRJLHPHHH2,"FinBloom Water Conditioner","Water Conditioner",FinBloom,33,"Pet Care Products",Fish,"4 oz",26.58,198,1,2019-01-08,NULL
125,9733,2I1X23YT8JZS,"Lunafresh Pasta Sauce","Pasta Sauce",Lunafresh,7,"Food and Beverages",Pantry,"16 oz",5.72,24,1,2019-01-08,NULL
126,8685,756WVQ9RW68Q,"BlueHaven Diet Root Beer","Diet Root Beer",BlueHaven,8,"Food and Beverages",Soda,"16 oz",5.65,152,1,2019-01-08,NULL
127,875,L9PTHXN1Y5N9,"NaturaPress Tots Organic Baby Cereal","Organic Baby Cereal","NaturaPress Tots",34,"Baby and Childcare","Food and Formula","8 oz",14.13,285,1,2019-01-08,NULL
128,8987,RQ9RLWATNSAK,"SunVale Kitchen Whole Wheat Bread","Whole Wheat Bread","SunVale Kitchen",2,"Food and Beverages","Baked Goods","20 oz",8.06,79,1,2019-01-08,NULL
129,6226,WJ4GBZKSH78H,"Vellora Springs Electrolyte Water","Electrolyte Water","Vellora Springs",12,"Food and Beverages",Water,"1 L",6.17,253,1,2019-01-08,NULL
130,3413,2M8T6MABRGN4,"EverWell Pets Chew Toys","Chew Toys","EverWell Pets",30,"Pet Care Products",Dogs,"3 ct",11.49,116,1,2019-01-09,NULL
131,8732,WSGWZD1AN8A2,"EverWell Baby Infant Formula Powder","Infant Formula Powder","EverWell Baby",34,"Baby and Childcare","Food and Formula","12 oz",7.41,275,1,2019-01-09,NULL
132,5870,YJ6A9BQB7ZJ6,"PureLuxe Home Fabric Softener","Fabric Softener","PureLuxe Home",19,"Household Goods and Cleaning Products",Laundry,"32 oz",11.97,271,1,2019-01-09,NULL
133,4000,Z76BD7PA0VN8,"VitaVerde Soy Sauce","Soy Sauce",VitaVerde,7,"Food and Beverages",Pantry,"20 oz",8.92,236,1,2019-01-09,NULL
134,2480,1JK77084CDJR,"EverSip Strawberry Soda","Strawberry Soda",EverSip,8,"Food and Beverages",Soda,"12 oz",8.58,115,1,2019-01-10,NULL
135,3339,921WK1P6F9V6,"Auralift Pets Dry Dog Food","Dry Dog Food","Auralift Pets",30,"Pet Care Products",Dogs,"30 lb",7.69,219,1,2019-01-10,NULL
136,1778,BGHAJSRAQ7FO,"EverWell Pets Cat Scratching Post","Cat Scratching Post","EverWell Pets",31,"Pet Care Products",Cats,Medium,12.82,112,1,2019-01-10,NULL
137,8022,NCSXLYZ7YQKF,"SilkenSteep Green Tea","Green Tea",SilkenSteep,11,"Food and Beverages",Tea,"20 ct",7.47,273,1,2019-01-10,NULL
138,2149,T75UOPQ9A6DO,"Tmart Scented Trash Bags","Scented Trash Bags",Tmart,21,"Household Goods and Cleaning Products","Trash Bags","20 ct",15.34,294,1,2019-01-10,NULL
139,7706,EVA8P28P07PG,"NaturaPress Donuts",Donuts,NaturaPress,2,"Food and Beverages","Baked Goods","6 ct",5.57,80,1,2019-01-11,NULL
140,3931,HATFX6IPK59I,"Auralift Dishwasher Detergent","Dishwasher Detergent",Auralift,18,"Household Goods and Cleaning Products","Cleaning Supplies","75 oz",11.50,161,1,2019-01-11,NULL
141,314,KRNIVTHHC9JO,"Auralift Wellness Back Pain Relief Patches","Back Pain Relief Patches","Auralift Wellness",28,"Health and Wellness Products","Pain Relief","8 ct",5.32,20,1,2019-01-11,NULL
142,9802,AL8S4MUVNUEG,"VitaVerde Greek Yogurt","Greek Yogurt",VitaVerde,1,"Food and Beverages",Dairy,"32 oz",9.78,131,1,2019-01-12,NULL
143,2863,DJLPU1GEBAA8,"SunVale Juices Tomato Juice","Tomato Juice","SunVale Juices",9,"Food and Beverages",Juice,"46 oz",4.08,221,1,2019-01-12,NULL
144,5648,GVEH0CWFH5RK,"Crescent Grove Beef Jerky","Beef Jerky","Crescent Grove",3,"Food and Beverages",Snacks,"6 oz",5.37,157,1,2019-01-12,NULL
145,1975,SANCPA6SKKZV,"Aurora Fields Salted Butter","Salted Butter","Aurora Fields",1,"Food and Beverages",Dairy,"16 oz",1.80,290,1,2019-01-12,NULL
146,639,BK1NDSFHIIZA,"Tmart Paper Napkins","Paper Napkins",Tmart,23,"Household Goods and Cleaning Products","Disposable Tableware","250 ct",9.83,293,1,2019-01-13,NULL
147,3348,CFNK5X6YIZMK,"Golden Ember Espresso Roast","Espresso Roast","Golden Ember",10,"Food and Beverages",Coffee,"12 oz",6.67,155,1,2019-01-13,NULL
148,6675,EU206LTB3L51,"Aurora Fields Spinach",Spinach,"Aurora Fields",4,"Food and Beverages",Produce,"8 oz",2.10,266,1,2019-01-13,NULL
149,6912,FQQN0418WEUK,"SunVale Home Toilet Bowl Cleaner","Toilet Bowl Cleaner","SunVale Home",18,"Household Goods and Cleaning Products","Cleaning Supplies","24 oz",15.85,113,1,2019-01-13,NULL
